GroundTruth,Prediction
الشدياء ليس في كور المكتوب الو ارسلته الى كور,الشلرياءلي في كور المكتواب الذ ارسلنه الى كور
ذهب ورجع الى البترون. وانا اذهب الى بيت,ذهب ورجع الى البتروت. وانا اذهن الى بيت
البناني هو محل المستشفى واختي فوز,البناني الري هو محل المستشفى واختي فوز
تذهب ايضاً الى المدرسة الى الراهبات ايضاً,تذهب ايضاً الى المدرسة الي الراهبيات ايضاً
في السيارة للراهبات لا تبعت لنا,في السيارة للراهبات لااتعن لنا
نقود بدو تسوكر واهذه,تقوبدو تسوك واهذه
الجملة الخاصة وواققول لك عيد مبارك:,الجملة الخاصة وواققول لك غيد مبارك:
وا خبرك ايضاً ان توفت مريم,واخبرك ايضا ان توفت مريم
في استلمت عيدتيك اللطيفة وهي خمسة عشر دولاراً . اشكرك يا حبيب,اخي استلمت عيدكيك اللطيفة وهي خمسة عشر دولاراً. اشكرك يا حبيب
العيد ويذكرنكم في صلواتهن.,العيد ويذكرنكم في ملواتهمن.
من جهة البيت من اسبوع استلمت رسالة من الوالد. صحته متحسنة,من جهة البيت من اسبوع استلمت رسالة من الوالد. صحته متحسنة
بنام عنده ابن العم بنيامين الدوس وتخيه كنته ماري. لكنه مستفقد,لبنام عنده ابن العم بتيامين الدوس وتخيمه كنته ماري. لكنه متفقد
لبعد اولاده عنه. الشيئ الذي ألمني كثيرا لذا كتبت للصهر,كنير لبعد اولاده عنه. الشيء الذي ألمني كثيراً لذا كتبت للصهر
العزيز الخوري مطانيوس يزبك وكلفته حتى يدبر اخي بطرس حتى نؤمن,العزيز الخوري مطانيوس بذبك وكلفته حت يدبر اخي بطرس حتى نؤمن
راحة الوالد والمحافظه على كيان البيت وترجيته ان يهتم بهذا,راحة الوالد والمحافظه على كيان البيت وترجيته ان يهتم بهذا
الموضوع ويخبرني باقرب وقت عما يجد بهذا الشأن. وانا,الموضوع ويخبرني باقرب وقت عما يجد بهذا الشأن. وانا
اصلي بانتظار الجواب . وفقه الله والهم بطرس ان ينقاد,اصلي بانفظار الجواب. دفقه الله والهم بطرس ان ينتقاد
لنصائحه... اما بخصوص الشيئ الذي لم يقدر ان يذكره لك الوالد,لنصائحه... اما بخصوص الشيء الذي ثم يقدر ان يذكره لك الوالد
في المكتوب وقد قلق بالك من جهته فهو على ما اظن : ان الوالد اخبرني,في المكتوب وقد قلق بالك من جهته فهو على ما اظن : ان الوالد اخبرتي
اختك واطلب منه تعالى توفيقكم ورجوعكم الينا سالمين وهذه تكون اجمل عيدية,خنك واطلب منه تعالى توفيقكم ورجوعكم البنا سالمين وهذه تكون اجمل عيدية
يمكنك ان تقدمها لشقيقتك التي لا تلز لها الاعياد وانت بعيد عنها...,يمكنك ان تقدمها لشقيقتك التي لا تلز لها الاعياد وانت بعيد عنها...
الل قرب الله ايام اللقاء. ولا حرمنا من رؤيتكم في ارض الوطن المحبوب...,اللا قرب الله ديام اللقاء. ولا حرمنا من دؤيتكم في ارض الوطن المحبوب...
اخي من جهتي الحمد لله صحتي جيدة بعون الله ومسرورة جداً مع حصن رئيستي,اخي من جهتي الحمد لله صحتي ميدة بعون الله ومرورة جداً مع معن رئيستني
الفاضله الام ماري جوزيف غريب التي تشكر عاطفتك النبيله وتبادلك اضعافها,الفاضله الامماري جوزيف غريب التي تشكر عاطفتك النبيله وتبادلك اضعافها
سائلة طفل المزود توفيقكم وهي دائماً تذكرك في صلواتها وتقول لي :,سائلة طفل المزود توفيفكم وهي دائماً تذكرك في ملواتها وتقول لي:
بهنيك بهالاخ (شو هوي ولد صالح) ... ودائماً توبخني عندما اتأخر عليك,بهنيك بهالاخ (شو هوي ولد صالح)... ودائماً توبخني عندما اتأخه عليك
بالمكانية. وهكذا جميع الاخوات العزيزات يبادلنك تمنيات,بالمكانبة. وهكذا جميع الاخوات العزيزات يباد لنك ثمنيات
معزول. هي ذكية وطلعة عا بيها ومنش متعدايه عالكار.,معزول. هي ذكية وطالعة عا بيها ومنش متعدايه عالكار.
قلبي واطبع على جبينه شتى القبلات الحارة مبقية القسم الاوفر,قلبي واطبع على جبينه شتلى القبلات الحادة مبقية القسم الاوفد
لوالديكم الحنونين روز ويوسف ولجدتكم المحبوبة مورة التي لها,لو الديكم الحنونين روز ويوسف ولجدلكم المحبوبة مورة التي لها
المقام الكبير في قلبي نظراً لما تبذله من الغالي والنفيس في مساعدة,المقام الكلبير في قلبي نظراً لما تبذله من الغالي والتفيس في مساعدة
اخي الحبيب على القيام باعباء عائلته المحبوبة ... وفقها الله وكافاها,اخي الحبيب على القبام باعباء عائلته المحبوبة... وفقها الله وكافاها
عنا خيراً ووفق جميع ابنائها وبناتها وعائلاتهم الحبوبة الذين,عنا خيراً ووفق جميع ابنائها وبناتها وعائلاتهم المحبوبة الذين
اهديهم اذكى تمنيات العيد طالبة لهم من طفل المزود التوفيق,اهويهم اذكى تمنيات العيد طالبة لهم من طفل المزود التوفيق
والبركات الوافرة. وهكذا لعائلة الجبيلي المحبوبة ...,والبركات الوافر. وهكذا لعائلة الجبيلي المحبوبة...
ولبنات خالتنا المرحومة روند مع طلب التطمين اليهم والى جميع ابناء,ولبنات خالتنا المرحومة روند مع طلب التطين اليهم والى جميع ابناء
البلاد عندك . والى عائلة روزه وخصوصاً العزيزين ألين والبير.,البلاد عندك. والى عائلة روزه وخصوصاً الى العزيزين ألين والبي.
واما بخصوص عائلة ابن العم المرحوم يوسف كتبت لهم مكتوب على العيد وطلبت ان يطمنوني,واما بخصوص عائلة ابن العم المرحوم يوسف كتبت لهم مكتوب على العيد وطلبت ان يطنوني
انا بذكر عندما كانوا يشارطون أخي يوسف حتى يسكت ربع ساعة وياخد,انا بذكر عندما كانوا بشارطون اخي يوسف حتى بسكت ربع ساعة وباقد
اليهم . ويخبروني عن احوالهم واخبرتهم بانك ستذهب لعندهم بعد رأس السنة.,اليهم. ويخبردني عن احوالهم واخبرتهم بانك ستذهب لعندهم بعد رأس السنة.
ربع ليرة وما كان يربح ولا مرة ... عافاك يا مي مي طالعة مثل,ربع ليرة وما كانا يربح ولا مرة... عافاك يا مي مي طالعة مثل
بييك . والعزيزه ميتثا. لماذا سميتوها فاجرة ؟ هيدي,بيك. والعزية ميتشا. لماذا سميتوها فاجرة : هيدي
اكيد طالعة متل عمتها قوية مش فاجرة. والله يعطيها حتى تصير,اكيد طالعة متل عمنها قويه مش فاجرة. والله بعطيها حتى تصير
متل عمتها بكل شيء. والصغيرة لارا البلبل الشجي الالحان,متل عمتها بكل شيء. والصغيرة رارا البلبل الشجي الالحان
انشاء الله بتكون موسيقى وسلوى العائلة كما ومسك الختام,انشاء الله يتكون موسبقى وسلوى العائلة فما ومسك الختام
لجنس البنات عند والديها... أه! يا اعزائي كم يلز لعمتكم التحدث,لجنس البنات عند والديها... أهايا اعزائي كم يلذ لعمتكم التحترث
معكم وقتاَ اطول ... واذ اتصور ذاتي بينكم اضمم كلاً منكم الى,معكم وقتاً اطول ... واذ ا تصور ذاتي بينكم اضم كلاً منكم الى
اسمأ في الصيف انه لاقط خفة من حنه فاخبر جورج ولربما,سرأ في الصيف انه لاقط شوية خفه من حنه فاخبر جورج ولربما
سوى زواج العزيز بطرس وفقه الله وهداه الى الخير...,سوى زواج العزيز بطرس وفقه الله وصواه الى الخين...
هذا كل ما عندي اخبرني انت ما يجد عندك وطمني الى صحة العزيزة روز.,هذا كل ما عندي اخبرني انت ما يجد عندك وطمني الى صحة العزيزة روز.
اخيراً بمناسبة حلول عيد الميلاد المجيد ورأس السنة الجديدة,اخيراً بناسبة حلول عيد الميلاد المحبيد ورأس السنة الجديدة
اعيدكم هاتنه تحدكم : عيد مبارك ! سنة سعيدة !,اعيدك هائنه تحدكم: عيد مبارك ! سنة سعيدة !
اعادها عليكم طفل المزود بالخير والبركات ووفق,عادها عليكم حلفل المزود بالخير والبركات ووفق
جميع مساعيكم واعادكم الينا سالمين معافين...,جميع اميكم واعادكم الينا سالمن معافين..
انه اسميع المجيب .,انه السميع الحيب.
تقبلكم قبلة العيد الحارة شقيقتكم المشتاقة اليكم,تقبلكم قبلة العيد الحارة شقيقتكم المشتاقه اليكم
الاخت فيكتور ن خوري,الاخر فيكتورينا خوري
اخبرها جورج بدوره .(الدمة ضعيفه) لربما يكون صحيح لان حنه هي,اخبرها جورج بدوره (الدمة ضفيفه) لربما يكون صحيح لان منه هي
بنت روزه والمثل يقول (طب الجرة على تما بتطلع النبت مثل اما).,بنت روزه والمثل يقول ل(طب الجرة على تما يتطلع البنت مثل اما).
ولربما بكون وهم. وعلى كلٍ فالعزيزة حنه حنقت على الوالد ولم,ولربما يكون وهم. وعلى كل. فالعزيزة منه حنقت على الوالد ولم
تعد تحاكيه ولا تريد ان تسكن معه في البيت. ولربما هذا كان,تعد تحاكيه ولا تريد ان تسكن معه في البيت. ولربما هذا كان
سبب نزولهم الى البترون . اياك يا عزيزي ان تذكر شيئاً,سبب نزدلهم الى البترون. اياك يا عزيزي ان تذكر شيئاً
من هذا عندما تكتب للوالد لئلا يطلع احد على هذا الخبر...,من هذا عندما تكتب للوالد لئلا بطلع احد على هذا الخبر...
اما بخصوص نزول الوالد الى البترون فاظن انه غير موافق . لان حنه,اما بخصوص نزول الوالد الى البرون فاظن انه غير موافق. لان منه
هربت منه ويوسفية لا يطيقها من الاصل. فلا يوجد حل لهذه المسئلة,حربت منه وبوسفية لا يطيفها من الاصل. فلا يوجد حل لهذه المئلة
عمي العزي,العز..
الارض الذي وضه الله فيها الخير. ان جدي,الارض الذي وضع الله فيها الخير ان جدي
لا يطلب الى مشاهدتك والسنة هذه ان شاء الله,ابطلب الى مشاهدتك في السنة هذه ان شاد الله
وهو باقي على حاله واطلب منك انا هذه الطلب,وهو باني على ماله واطلب منك انا هذه الطلب
الذي اريد ان اسمع اسواطكم مسجلة وهذه هي,الذي اريد ان اسمع اسواطكم مسجلة وهذه هي
عيديتي عمي لا اريد الى هذه الطلب ان شاء,عيديتي عمي لا اريد الى هذه الطلب ان سَاد
الله سيوصل لي في عيد الميلاد الذي سجل,الله شيوصل لي في عير الميلاد انذي سجل
يوم ميلاده يعبرون فيه كل سنة ان اخوتي,يوم حيلاده يعلدون فيه كل سة ان اخوتي
يريدون ان يتعرفوا عليك وعلى العائلة الكريمة,يريدون ان يتعرفدا عليك وعلى العائلة الكربية
اجمع ودمت ابن اخيك,اجمع ورمت ابن اقيك
عنواني,عنواني
اني ارسل لك هذه الرسالة لنجدك في تمام,فن ارسل لك هذه الرساله لنجدك في تمام
ملك: ميشل الجمال البترون حي الدوره,ملك: ميشل الجمال البترون حي الدودة
الصحة والعافية مع العائلة الكريمة وبواسطة,الصحة والعافية مع العائلة الكريمة وبواسطة
عيد الميلاد الذي خلق في المسيح تولدة,بيد الميلاد الذي قلق فيه السيد المسيع تولدن
هذه الرسالة من ابن اخيك مارون اننا في الصحة,ذه الرسالة من ابن اخيك مارون انننا فن الصحة
التامة والدي ووالدتي في الصحة التامة ايضاً وان,النامة والمدي ووالدتي ين الصحة الذادة ايضاً وانا
اطلب من الباري الباري تعالى ان يوفق المعتزين,اطلب من الباري الباري تعالى ان يوفق المعتزين
وانت بالاخص ويرجعوا الى اهلهم الى وطنهم,وانت بالاخص ويرجعوا الى اهلهم الى وطنهم
العزي الذي عاشوا عليه وربوا ع نشوءفي,العذي الذي عانوا عليه ودبواونشفي
عن كور في ٢٩ شباط سنة ٩٦٠,عن كور في ٢٩ شباط ن٩
ابن عمي العزيز:,ابن عمي العزيز:
اني قضيت سبة المرفع في القرية بين الاهل بفرح وسرور,اني قضيت سَبة المرزفع في القرية بين الاهل بفرح وسَرور
وانا عائد الى المدرسَة يوم اثنين الرماد قد وضعت هذه الرسالة في,وانا عائد الى المدرسَة يوم اثنين الرماد قد وضوت هذه الرسَالة في
البريد لا شيء جديد لاخبركم اياه ان ابيك في صحة وعافية الحمد لله,البريد لا شيء جديد لاخبركم اياه ان ابيك في صحة ومافية الحمد لله
فان في وجهه لون كلون الشباب فيَستحلي الانسان يجلسَ امامه,فان في وجهه لون كلون الشباب فيسَتملي الانشان يجلسَ امامه
وينظر الى وجهه ويَسمع احاديثه ويهديكم سَلامه وان جورج,ينظر الى وجه ويسَماع احاديثه ويهديكم سَلامه وان جورج
وعائلته والعريس بطرس مع عروسته يهدوكم السلام وهم الان,وعائلته والعربس بطرسَ مع عروسَته يهدوكم السَلام وهم الان
في عمشيت وطانيوس معهم وبيت جان بخير مع عائلتهم جميعاً,في بممشبت وطانبوش معهم وبيت جان بخبر مع عائلتهم جميعً
وخيك وعقوب وبيت عمتي منه وجميع الاهل يهدوكم السلام,ليك ويعوب وبيت عمني منه وجميع الاهل يهدوكم السَلام
ابن العم العزيز يوسف وامراته حفظكما الله.,ابن العم العزيز يوسَفا واراته حفظكما الله.
بكل دقيقة تمر من الزمان ارى من واجابي لا بل عاطفتي ترفض,بكل دقيقة تمر من الزمان ارى من واجلي لا بل عاطفتي ندفض
وتقول لي عليك واجب نحو شخص نحو اخ نحو اب حنون يجب ان,وتقول لي عليك واجب نحو شخص نحواخ نحواب حنون يجب ان
تكتب له. فهذا هي شعوري وعاطفتي واشواقي واحترامي لكم,تكتب ل. فهذه هي شعوري وعاطفني واشواق واحترامي لكم
ولجميع عائلتكم اثديها لكم طالبا من الباري ان تكونوا في الصحة,ولجميع عائلتكم اقدمها لكم طالبام الباري ان تكونوا في الصحة
والعافية مع جميع الاهل والاقارب وتكون اشغالكم موفقة,والعافية مع جميع الاهل والاقارب وتكون اشغالكم موفقة
بعونه تعالى. ومن هنا نحن في صحة تامة مع جميع الاهل وهم يهدونكم,نونه تعالى. ومن هنا نحن في صحة تامة مع جميع الاهل وهم بهدذتكم
سلاماتهم الحارة ويطلبون لكم التوفيق والنجاح.,سَلاماتهم المارة ويطلبون لكم التوفيق والنجام.
AF-279,AF-34
ولم قد عان ملهوفاً واعطى يتيمًا حيث يحلو له العطاء,وكم قدعان ملهوفاً واعطى   ي تيما ث يحلو له العطاء
فلا عجب اذا نحنا على من تجمله المرؤة والسَخاء,فلا عجب اذا نحنا على من تجمله المرؤة والشنخاء
ووالهفي على تلك المزايا تصاحبها الشهامة والاباء,ووالمهفي على تلك المزاياتصاجها الشهامة والاباء
يسَوء الدهر ان نلقى هناء، وهل مرءٌ يتم له الهناءُ,يسَوء المدهر ان تلقى هنا، وهل مرءٌ يتم له الهاية
وما نرجوه من زمن قصيرٍ يطول الهمّ فيه والشقاء,وما رجود من زمن قصيرٍ   يطول الهّم فيه والشقاء
وانتم يا بني فرحات صبراً على موسَى فسَكناه السَماءُ,وانتم يا بني فرحات حبرً    على موسَى فسَكناه السَماءُ
الاسيف,الاسيف
الخوري يوسَف نصار . عمشيت,الخوري يوسَف نصار . عمشيت
رثاء الفقيد العزيز الغالي,رثاء الفقيد العزيز الغالي
المرحوم موسَي فرحات جاج تغمده الله برضوانه والهم آله صبرً على فقدانه,المرحوم موسَي فرحات جاج تغمده الله برضوانه وألهم آله خبراً على فقد انه
بكت جاجٌ وحق لها البكاءُ على موسَى وناح الاصدقاءُ,بكت جاجٌ وحق لها البكاءُ  على موسَى وناح الاصدقاءُ
وقالت اين فرحاتي وعزي واين ثوى بصاحبه الوفاءُ,وقالت اين فرحاتي وعزي واين ثوى بصاحبه الوفاءُ
عرفناه عليل الجسَم حيناً صحيح العقل زينته الذكاء,عرفناه عليل الجسَم حينا  صحيح العقل زينته الذكاء
فلم يشكُ من الايام ضيماً وداء فيه ليسَ له شفاء,فلم يشك من الايام ضيمًا وداء فيه ليسَ له شفاء
تحمله طويلاً وهو يتلو ليفعل خالقي مهما يشاءُ,تحمله طويلاً وهو يتلو  ليفعل خالفي مهما يشاءً
قضى الايام في شرف وعزٍ واحسَانٍ يصاغ له الثناء,اقضى الايام في شرف وعنز واحسَان بصاغ له الشناء
AF-280,F-24
توجب دفعه من مال الاميرية والطراقات لجهة الماجور المذكور تحريرا/ ٢٦ نسان /٩١٦,توجب دفعه من مال الاميرية والطراقات لجهة الماجور المذكور تحريز / ٢٦ سان  ٩١
الاخ اسطفان    فرحات فرح يوسف جاج,ا فمرحان قر يو
شهود شبلي بركات,ر ري
بتاريخه انا الواضع اسمي ادناه فرحات فرح من قرية جاج قد استاجرت من الخوجات جرجي وحبيب بدارو من مدينة بيروت,بتاريخ انا افواضع اسمي اذناه فرضات فرخ من قرية جاج قد ستاجرت من لحوجات جرجي وحيب بدارر من مدنية بيروت
العقار الجاري على ملكهما الكائن بخراج قرية جاج المشتملة قطعة اولى كرم في محل الارضي يحدها شرقا طريق غربا يونس,العقار الجاري على ملكهما الكائن غرايج فرية جاج المشتملة قطعة اولى كرم في محل الانصل حره شرا طرايقن ربا يونس
وقرياقوس فرح والفاصل صليب في صخر اصلي شمالا وقبلة الشيخ موسى بركات واخوانه والفاصل حيطان قطعة,وقر باقدس فرح والفاصل جيب في ضخر احلي شمالا وقبلة الشخى موسى بركات واخوانه والفاضل حيصان قطعة
ثانية توت في الحمى يحدها شرقا الخوري موسى فرحات واخيه قورياقوس صعيبى غربا طنوس يعقوب واولاد يازبك,ثانية توت في الحمى يحرها شرق الخوري موسى فرحات واخيه قور ياقوس صليب غربا طوس يعقوب واولاد يازبك
شمالا شبلي بركات قبلة وقف مار شليطه والفاصل حائط قطعة ثالثة في جوار حميا سيلخ يحدها شرقًا ملك برجوت,شمالا شبلبي بركات قبلة وقف مار شراطه والفاص حائط قطعة ثالثة في جوار حميا سيلخ بحدهاشراً ملك برجوت
حرمة رفول غصن غربا اولاد يوسف الياس شمالا المصب الماء وقبلة اولاد فرنسيس شَاهين والفاصل تخم,حرمة رفول غضن غربا اولاد يوسف الياس شمالا المصب المار وقبة والاد فرنسيس شاهين والفاصل نخم
وذلك لمدة سنة كاملة من تاريخه ادناه ببدل قدره ثلاثة عشر ليرا عثمانية عين فاني اتعهد بحلول الاجل ان اسلم,وذلك لمدة سنة كاملة من تاريخه اناه بيدل قدره ثلاثة عشر لير عثماية عين فاني انعهد بحلول الاصل ان اسلم
الماجور عما به كما قد استلمته منهما ايجارة صحيحة شرعية صادرة برضائي وقبولي وقد تعهدت ايضاً بدفع كلما,الماجور تمامه كماقد استلمة منهما ايجارة صحية شرعية صاورة برضاتي سوقولي وقد نفهدت يضا بدفع كلم
بتاريخه قد جرت المقايضه الشرعية فيما بين الدكتور يوسف فرحات فريق اول والخواجه موسى فرحات فرح فريق ثاني,بتاريخه قد جرت المقايضه الشرعية فمابين الدكتور يوسف قرحات فريق اول والخواجه موسى فرحات قراح فريق بناني
الى ملك الاخر يتصرف بها كيفما شاء نظير باقي املاكه الشرعية وبيد كلٍ منهما نسَخة عن هذا الصك,الى ملك الاخر يتصرف بها كيفا شاء نظير باقي املاكه الشرعية وبيد كل مبنهما نسخن عن هذا الصك
ليصير العمل بموجبه عند الاقتضاء وللبيان حرر فى ٢٥ آب ٩٢٤           الدكتور,ليصير العمل بموجبه عند الافتضاء وللبيان حرر في ٢٥ آب سن ٩٢          ك الدكتور
كاتب موسى فرحات فرح يوسف فرحات,رفيوس
شبلى بركات فرحات الدكتور,ر الو
شهود الحال,سودسا
على قطعتي الارض الملاصقتي بينهما قطعة اولى خاصة الفريق الاول المتصلة اليه بوجه الشراء الشرعي من الخواجه شبلي بركات,على قطعني الارض الملاضفني بينهما قطعة اولى خاصتة الفريق الاول المتصلة اليله بوجه الشزاء الشرعي من الخواجه شَبلي بركاته
المحدودة شرقاً ملك اسعد يوسف بطرسَ شمالاً ملك فرحات البدوي بركات غرباً ملك شبلي بركات والفاصل,المحدودة شرقاً ملك اسعد يوسف بطرسَ شالاً ملك فرحان البدوي بركان غرباً ملك شبلي بيركات والفضل
طريق الرجل المؤداة الى بيت الخوري موسى فرحات قبلةً ملك موسى فرحات الفريق الثاني. القطعة الثانية,طريق الرجل المؤداة الى بيت الخوري موسى فرحات قبلة ملك موسى فرحات الفريق الثاني. والقطعة الثانية
ملك الفريق الثاني يحدها شرقاً ملك موسى فرحات الفريق الثاني على مقابل زاوية بيت الشيخ موسى بركات,ملك الفريق الثاني يحدها شرقاً ملك موسى فرحات الفريق الثانى على مقابل زاوية بيت الشيخ موسى يبركات
الشرقية شملاً ملك الدكتور الفريق الاول غرباً ملك الفريق الثاني على بعد ثلاثة امتار للغرب من زاوية,الشرقية شملاً ملك الدكتور الفريق الاول غرباً ملك الفريق الثاني على بعد ثلاثة امتار للغرب من زاويه
بيت الشيخ موسَى بركات الغربية ممتدًا للشمال خظًا مستقيماً للحائط الذي هو ملك الفريق الاول قبلة,بيبت التيج موسَ ركات القربية ممتدا للشمال خظا مستقياً لحائط الذي هو ملك الفريق الاولى قبلة
بيت الشيخ موسى المذكور وتتمتهُ للغرب ملكه ايضاً على ثلاثة امتار مقايضة صحيحة شرعية تامة,بيت انشيخ موى المذكور ونتمتهُ للقرب ملكه ايضاً على ثلاثة امتار. مقايضة صححة شرعية نامة
بالرضا والقبول والايجاب والتسلم والتسليم من الطرفين وقد خرجت كل قطعة من ملك مالكها الاصلي,بالرضما والقبول والايجاب والتسلم والتسليم من الطرفين وقد خرحت كل قطعة من ملك ما لكها الاصلي
AF-291,EF-34
للشاري يتصرف بهِ كيفما شاء واراد بثمن قدره خمسَة الاف ليره,للشاري يتصرف بهِ كيفما شاء واراد بتحن قدره خمسَة الاف ليره
لبنانيه عن كامل هذه القطعه قبضتها دفعه واحده من الشاري ولم يعد لي,لبنانبه عن كامل هذه القطعه قبضتها دفعة واحده من التاري ولم يعد لي
بذمته بارة الفرد مع كافة طرقه وطرايقه وأبرت ذمته من كل غبن وغرور,بدمته بارة الفرد مع كافة طرقه وصرايقه وابرت زمته منى كل غين وغرور
من هذا المبيع ابرأً عاماً وللبيان حرر,من هذا المبيع ابراً عاماً وللبيان حرر
كاتب نصار طانيوس السمراني,ال
شهود الحال,شاسود الحا
انطوان نصار السمراني حنا طنوس السمراني,حنا طنوس
١٩٦١ فى ٢٨ تشرين اول ١٩٦١,٩٩ ول١٩٣
نصار طانيوس السمراني,طانيوس
