GroundTruth,Prediction
ويشتلي,شتلي
د خوندی كولو په اړه څه تجاويز وړاندې كړل كوم چې وروستو د عجائب خانې,داخوندی كولو په اړه څه تجاويز وړاندې كړل كوم چې وروستو د جائب ځانی
بوتلو. څۀ موده دے هلته وو.بيا چې کله شاه سليم بادشاه شو,بوتلو. څۀ موده دے هلته وو بيا چې کله شاه سليم بادشاده شو
په تاڼه کښې هم دَ ګلاب شاه شلماني په نامه ژوند کوو او لکه دَ,په تاڼه کښې هم د ګلاڼ شاه شلهماني په نامه ژوند کوو لکه دَ
پټه کړې د مخ ويره,ويته کړې د مخ ولره
هندوستان کښې امرتسر ، دهلي,هندوستان کښې امرتسر، د هلې
لۀ تور لحده چاره نشته,لۀ تور لحده چاره نشته
"دي"". په يوه بله موقع هغه د کهېل نظريې وضاحت داسې کوي. د","دي"" يه يوه بله موقع هغه د کصل نظريې مصاحت داسې کوي. د"
” هائيکائي“ نه رابېل کړے دے او انګرېزي ادب هم,هائيکائي'' نه رابېل کړے دے او انګرېزي اوب هم
چې هغه د نړيوالو  فلسفيانو او پوهانو د افکارو لوسته لرله  او د,چې هغه د نړيوالو فلسفيانو او پوهانو د افکارو لوسته لرله او د
﻿هتيار اوغورځوی ـ  خليفه هم دغه شان حکم کړے وو ـ د هغۀ اکثر خلق د وسلې نه بغير رااو,هتيار او غورځوي ـ  خليفه هم دغه شان حکم کړے وو د هغه اکثر خلق د وسيلې نه بغير راو
د ښاغلى دوست په ترتيب شوى ديوان مرزاخان انصارى,د ښاغلی دوست په ترتيب شوی ديوان مرزخان انصاری
"شته او ګداز هم."" (٦٧)",شته او ګداز هم(٦٦)
په سويلي وزيرستان کښې د محسودو,په سويلي وزيرستان کښې د محسودو
ژباړه: دَ تاڼې دَ خانخېلو دَ مشرانو سره چې کله په دې سلسله کښې,ژباړه: د تاڼې د خانخيلو دَ مشرانو سره چې کله په دې سلسله کښې
داد سيندونو ګلابونو او سپرلو وطن دے,دا د سيندونو ګلابونو او سپرلو وطن دے
د ځنو شواهدو په رڼا کښې مونږ وئيلې شو,د ځنو شو اهدو په رڼا كښې مونږ وئيلې شور
چې انسان دومره مکار دے,چې انستان دومره عکار دے
پس جهانزېب نياز په ما پسې راغے او,پس بهانزيب نياز په ما پسې راغے او
نوي نوي پېغامونه لري غيږ کښې,نوې نوې پېغامونه لرې غېږ کښې
جي تحريك اثرات په پښتو ادب٬حاجي صاحب,چې عريك اثرات په پهښتو ادب دحابي صاحب
د نورو ګڼو شاعرانو پۀ پوره توګه نۀ دى معلوم. د کلام د داخلى شهادتونو,د نورو ګڼو شاعرانو پوره توګه نۀ دی معلوم د داخلی شهادتونو
کتاب د پښتنو طالبعلمانو ، شاعرانو او تنقيد,کتاب د پښتنو طالبعلمانو ،اشاعرانو او تنقيد
ښاغلے فضل مير خټک دَ غاړې دَ سر ليک لاندې دَ کاکړۍ په نسبت,ښاغلے فضل مير خټک دَ غاړې د سر ليک لاندې د کاکړۍ په نسبت
کښې د عمراني فکر او شعور په حواله ترې دلته,کښې يو څو ثالونه د عمراني فکر او شخور په حواله ترې دلته
څو سکندره څو يوسف به درته ياد کا,څو سکندره څو يوسف به درته ياد کا
نظم باره کښې ډاکټر سلمٰٰٰٰى شاهين  وائي,نظم باره کښې ډاکټر سلمیٰ شاهين وائي
زه دې د پکه سره څه خبره ومه,زه دې د پکه سره ځه خبره ومه
ترجمې البته شته. كه تصديعه,ترجمې البته شته كه تعديعه
اوس چې جانان غزل نه اوباسئ,اوس چې جانان غزل نه اوباسي؟
د احتياط لاس مې سوری شو,د احتياط لاس مې سېوري شو
شوې دي:,شوې دي:
زرخېزه ګلورينه او ګلفام پاکستان,زرخېزه ګلورينه او ګلغام پاکستان
وخته پورې ئې د خپل پلار خونه د ه پرښی ـ  ددې برعکس د تاريخ مرصع,وخته پورې ئې د خپل پلار خو نه ده پرښې ـ  دې پرعکس د تاريخ مرصع
خبر مې کله کله اخله,خبر مې کله کله اخله
دانګي مې سترګو نه بڅري,دانګي مې سترګونه بڅري
ستا نامه به ترېنه خېژي په شپېلي کښې,ستا نامه به ترينه خېژي په شپېلۍ کښې
کښې اوسې پريږده مړه ساده سړيه ما وئيل چې کۀ چرته دې د کار خبره,کښې اوسى پرېږده مړه ساده سړ په ما وئيل چې که چرته دې د کار خبره
﻿ هغوي نشر کړو ـ په دې  سره زما حوصله اوچته شوه او د خپل,هغوي نثر کړو ـ په دې سره زما حوصله اوچته شوه او د خپل
﻿قران مجيد پۀ دې باب کښې څه دا شان ناطق دے,قران مجيد پۀ دې باب کښې څه د انسان ناطق دے.
رحمان بابا قلندر دے خو کوږ دستار تړلے قلندر دے,رحمان بابا قلندر دے خو کوږ دستار تړلے قلسندر دے
د نظم لمن چې د غزل په مقابله کښې اول هم,د نظم لمن چې د غزل په مقابله کښې اول هم
تاريخی كتاب شائع كړی او د خپل لنډو تنګو مالی وسائيلو باوجود يې,تاريخی كتاب شائع كړی او د خپل لندو تنكو مالی وسائيلو باو جور پی
ناليکلے ضابطه ده دغه ناليکلے ضابطه او ناليکلے آئين او,خاليکے ضابطه ده دغه ناليکلے ضابطه او ناليکلے آئين او
ستا وطن کښې زما نوم نشته دے لاله,ستا وطن کښې زما نوم نشته دے لاله
هغه ايله د کار سړے شي سړو,هغه ايله ده کار سړے شي سړو
دے غونډئ ته کجو غونډئ وائی ـ وئيلے شي چه دده اولاد,دے غونډئ نه کجو غونډې وائي ويلے شي چې دده اولاد
زۀ د ګل انجام ته خفه کېږمه,زه د ګل انجام ته خفه کېږمه
او افغانستان په علاقو کښې خواره دي. هغه د حضرت,او افغانستان په علاقو کښې خواره دي. هغه د حضرت
ژبې زمونږه په جندره کښې ساتي,ژبې زمونږه په جندره کښې ساتي
کولو مامور کړے شو ـ او دۀ د هغوي پۀ قتلولو او ګرفتارولو کښې زيار او,کولو مامور کړے شو ـ او دۀ د هغوي په قتلولو او ګرفتارولو کښې زيار او
مړنے په کرده ډېر وئيل ئې لږ وي,مړنے په کرده ډېر وئيل ئې لږ دي
د ننګ پوره مفهوم او مطلب ترې ډېر په ښه جوړ واضح,د ننګ پوره معضوم او مطلب ترې ډېر په ښه جوړ واضح
که د لېلى مړے د قبر خواله وړېنه,که د لېلی مړے د قبر حواله وړېنه
خېرالبيان غوندې ناوياته كتاب چې مولانا عبدالقادر د,د خېرالبيان غوندې ناوياته كتاب چې مولانا عبدالقادر د
دمشق مصر، ايران او كابل كښې,مشق مصمر، ايران او كابل كښې
غذ ليکلے ؤ ـ هغه مسوده هم وه مونږ به,غز ليلے ؤ. هغه مسوديم وه مونږ به
او په لاهور ئې قبضه وکړه ـ  هم د دغې,او په لاهور ئې قيضه وکړه ـ هم د دغې
دے كه نۀ دے؟ چې لوستونكے يې په استعمال كښې,دے كه نۀ دے؟ چې لوستونكے يې په استعمال كښې
خېل بائيزى ؤ، اباخېل د يوسفزو يوه مشهوره څانګه ده او د ادم خان,خېل بائيزي ؤ، اباخېل د يوسفزو يوه مشهوره څانګه ده ادم خان
رب دې له دښمنه کړي داخاوره په امان,رب دې له دښمنه کړي داخاوره په امان
بنګش غوندې متون د تدوين له لارې محفوظ كړے,بنيش غوندې منون د تدوين په لارې محفوظ كړے
دا دنيا د سپى لکۍ ده نه نيغيږى نه سميږى‎‎,دا دنيا د سپۍ لکي ده نه نېغيږي نه سمېږي
دغسې ددې سکول  او ددې د جديد تعليم تر,دغسې ددې سکول او ددې د جديد تعليم تر
وي ـ  په چاربېته کښې دَ بندونو دَ شمېر هم څۀپابندي نشته ، دا,وي ـ په چاربېته کښې دَ بندونو دَ شمېر هم څۀ پابندي نشته، دا
که شاهزادګۍ راته کوي نه يې کومه,که شاهزادګۍ راته کوي نه يې کومه
دا چې دده ورکړې شوې تر اوسه منظور دي,دا چې د ده ورکړې شوې تر اوسه منظور دي
مونږه غريبان يو زمونږ مينے دي,مونږ غريبان يو زمونږ مينے دي
نزدې نزدې دَ نړۍ هره ژبه روماني,نزوی نزدې د نړۍ هره ژبه روماني
دى:,دی:
مېنه دې نۀ ده بې شرمي ده,مې نه دې نۀ ده بې شرمې ده
په سؤنو کاله وړاندې لرى او د معلومو اثارو له مخه د,په سؤنو كاله وړاندې لری او د معلومو اثارو له مخه د
کړي او د هغوي ادبي روشونه او هدفونه ئې توضيح کړي، چې په,کړيـ او د هغوي ادبي اوشونه او هرفونه ئې توضيح کړي، چې په
ستا په مړو سترګو کښې څۀ خويد مسيحا پۀ شان دے,ستا په مړو سترګو کښې څۀ خويد مسيحا پۀ شان دے
خدای دې په واورو کې ايسار کړه,خدای دې په داورو کښې ايساره کړه
مسرت بخښي١٦ ‘‘,مسرت پخښي١‘
يامين پۀ شرعى حيله د نورو وروڼو نه د ملزم پۀ حېث منع کړې شو,يا مين پۀ شرعۍ حيله د نورو وروڼو نه ملزم په حېث منع کړې شو
د افغانستان عامې روغتا وزارت په تېرو څلروشت ساعتونو,د افغانستان عامي روغتا وزارت په تېرو څلروشت ساعتونو
د پښتو اکېډمۍ په تدوينى خدماتو کښې د,د پښتو اكېډمۍ په تدوينی خدماتو كښې د
محمد د انبياءُ شهنشاه دے,محمد د انبياء شهشاه دے
دغه ليك به د كتابت له لارې په څو څو شكله رامېنځ ته,دغه ليك به د كتابت له لارې په څو څو شكله رامېنځ ته
پس د سيد عظيم شاه خيال بخاری د ټاكنې پورې څه,پس (سيد عظيم شاه خيال بخاری د ټائنې پورې څه
د اخوند دروېزه  په اثارو کښې د زيات شهرت لرونکي اثر,د اخون دروېزه په اثارو کښې د زيات شهرت لرونکي اثر
خوږ پاکستان وطنه,خوږ پاکستان وطنه
اعلـى تعليميافته شخصيت ؤ ـ د دوي تربيت,اعلىٰ تعليميافته شخصيت ؤ د دوي تربيت
کشمير ته رامخکښې شو نو اسلام شاه ورله شکست ورکړو.,شمير ته راغکې شو نو اسلام شاه ورله شکست ورکړو ـ
چار چاپېره په ماحول کښې څومره زوږ دے,چارچاپېره په ماصول کښې څومره زوږ دے
محترم  حماد (رح)  د امام صيب په حواله  يادکړې دے ۔,محترم حماد (رح) د امام صېب په حواله ياد کړې دےـ
د تهذيب او اخلاق او تمدن او معاشرت څۀ اصول,د تهذيب او اخلاق او غمزن او معاشرت څۀ اصول
ددې واقعې په شا يوه بله دردناکه واقعه هم ذکر کوي ـ  دَ هغۀ په,ددې واقعې په شا يوه بله درد ناکه واقعه هم ذکر کوي ـ  دَ هغه په
د وينو رنګ مې ګلابي جامې اغوستې ورته,د وينو رنګ مې ګلابۍ جامې اغوستې ورته
بې لۀ آشنا ژوند پۀ دوزخ کې تېرؤمه,بې لۀ اشنا ژوند پۀ دوزخ کې تې دومه
د يوسفزيو پښتنو په حقله ليكلے شوے دا تاريخی دستاويز تر ډېره وخته,د يوسفزيو پښتنو په حقله ليكلے شوے دا تاريخی دستاو تز تر ډېره وخته
بايزيد طيفور البسطامي هم وائي. د دوي نيکه اتش,بايزيد طيضور السطامي هم وائي. د دوي نيکه اتش
زرو روپو د انعام ورکړو ـ دغه رنګ د جلوس پۀ دريم کال چې شاهي لښکر دکن,زور رويو دانعام ورکړو ـ دغه رنګ د جلوس په دريم کال چې شاهي طښنګر د کت
سورو منصب پيرزو کړے شو ـ او د سعادت خان پۀ ځاے ئې د غزني تاڼيدار,سورو منصب پيرزو کړے شو ـ  او د سعادت خان پۀ ځاے ئې د غزني تاڼيد
نه غيرت، نه چا کې پت شته,نه غېرت، نه چا کې پت شته
په اولاد کښې ئې جوت اثر لېدے شي,په اولاد کښې جوت اثر ليدے شيـ
او هم دغه خيال دَ الفاظوو په لږ ډېر بدلون فېض الوهاب فېض هم,او هم دغه خيال د الفاظو په لږ ډېر بدلون فېض الوهاب فېض هم
رياضياتي جلال او بل ته حرکي جلال وائي.,زياضياتي جلال او بل ته حرکي جلال وائي
ئې پورا پورا جاج اخستے او د مېرمنو د احترام ٬د بشري,ئې پورا پورا اجاج اخستے او د مېرمعو د احترم د شرې
درخانۍ پۀ سپېځلې جامه کښې او بيا هر مئين او هره معشوقه ده,درخانۍ پۀ پېځلې جامه کښې او بيا هر مامين او هو معشوقه ده
دا نسخه څوكاله پخوا د پښتو ژبې يو زوړ ليكوال محمد عمر بلبل افغان د,دا نسخه څو كاله پخوا د پښتو ژبې يو زوړ ليكوال محمد عمر بلبل افغان د
رابه شي څو که پۀ ولقه کښې مې د جال نۀ راځي,لا به شي څو که په ولقه کښې مې د جال نۀ راځي
ملګرې هم دے ۔ هغو د ايوب صابر د ادبي سفر,ملګرې هم دے ـ هغو د ايوب صابر د ادبي سفر
قبوله کړه. شېخ وئيل هر چې فرمائې په سر سترګو مې قبول,قبوله کړه. شېخ وئيل هر چې فرمائي په سر سترګومې قبول
د تفصيلی كيټلاګ د,د تفصيلی كېټمدګ د
شېخه په ما پورې خندا دې وکړه,شېخه په ما پورې خنرا دې وکړه
سپين مخ مې چې سبا غوندې روښان ليدلی دی,سپين مخ مې چې سبا غوندې روښان ليدلی دي
خداېزده چې نور به لا په ځان څه کوي,خدايز ده چې نور به لا په ځان څه کوي
وطن چې ئې زمونږ په بې دردۍ سره لوټلے,وطن چې ئې زمونږ په بې دردۍ سره لوټلے
ثقافتي رواياتو باندې نظر لرل ، او جرګې ته د راتلونکي,تقافي رواياتو باندې نظر لرل، او جرکې ته راتلونکي
ټولنې په كال ۱۳۳۲د زمری په مياشت كښې شائع كړې ده,ټولنې په كال ۱۹۳۳د زمری په مياشت كښې شائع كړې ده
دريابه ژبه او کلتور ګټمه,دريابه ژبه او کلتور ګتيمه
بادره هم دومره ده، لکه غرئيزه پېغله,بادره هم دومره ده، لکه غرئيزه پغله
سلطان محمد فاتح په ۸۵۵ ھ کښې په تخت کښېناست,سلطان محمد فاتح په ۱۵۵ھ کښې په تخت کښېناست
د کفر او الحاد د شپې ئې زړۀ وچؤو سحر دے,د کفر او الحاد د شپې ئې زړۀ وچؤو سحر دے
چرته لرې غرۀ لمن کښې,چرته لرې غرۀ لمن کښې
ما هلته بوځۍ زۀ پۀ بل يو ځائے کښې نۀ رغېږم,ما هلته بوځۍ زه پۀ بل يو ځائے کښې نۀ زغېږم
صنف د بدلې دے. دې ته ځنې خلق سندره هم وائى او,صنف دَ بدلې دے. دې ته څه خلق سزره هم وائ او
"باره کښې داسې بيان کړې شوي دي . ليکي : ""ابراهيم لودهي د پلار",باره کې داسې بيان کړے شوی دي. ليکي : ابزاهم لورهي د پلار
يو وخت وو چې دَ ملاکنډ دَ سيمې په هره حجره کښې به دَ فقير شاه,يو وخت وو چې دَ ملاکنډ دَ سيمې په هره حجره کښې به دَ فقير شاه
لاهور، ستمبر ۱۹۹۴ء,لاهور ستمبر ۱٩٩۹ء
سبک د شعر او هنر پر سينه د يوه ځلانده غمي په شان ځلېږي، سبک د مضمون رنګ دے,سبک د شعر او هند په سينه دَ يوه ځلانده غمې په شان خليږيـ سبک د مضمون رنګ دے
عبدالقادر خان خټک په کلام کښې د عشقيه  ، اخلاقی او صوفيانه,عبدالقادر خان خټک په کلام كښې د عشقيه، اخلاقي او صوفيانه
صادق بن محمد شريف وو. محمد صادق په خپل ژوند کښې د سيدو,صارق بن محمد شريف وو. محمد صادق په خپل ژوند کښې د سيدو
پښتونولي د پښتنو د ژوند ژواک تېرولو او د معاشرت يوه,پښتنونولۍ د پښتنو د ژوند ژواک تېرولو او د معاشرت يوه
يادېدم,ياددم
دريابهؔ زه د خپل وطن غمونو,درچابهؔ زه د خپل وطن غمونو
په خپل کلي کښې تېر کړے وو او بيا د دغه کلي وال,په خپل کلي کښې تېر کړے وو او بيا دغه کلي وال
نه پس د طائر صېب خيال د لاهور ګورنمنټ کالج طرف,نه پس د طائر صېب خيال د لاهور ګورنمنټ کالج طرن
سکندر شاه: د سکندر شاه د ژوند په حقله,سکندر شاه: د سکندر شاه د ژوند په حقله
ما به وې داده راغله داده راځي اوس به راشي,ما به وې داده راغله داده راځي اوس به راشي
د خپل غېرت  خپلې حيا نه اخر چرته لاړ شي,د خپل غېرت خېلې عيانه اخر چرته
دَ هند دَ پاکستان,دَ هند دَ پاکستان
خدايه په ستونزو چې ددې زپلي قام پوهېږي,خدايه په ستونرو چې د دې زپلې قام پوهېږي
پښتو سر ته نشي رسولے۔ خو بيا ځنې داسې,پښتو سر ته نشي رسولے، خو بيا ځنې داسې
سر درې دل شوې، وطن لتاړ شو د رب بې شانه،,سردره دل شوې، وطن لتاړ شو درب بے شانه،
د جدت، حسن بيان، نوی خيالوتو، تشبيهاتو او سوزو ګداز سره,د جدت، حسن بيان، نوي خيالوتو، تشبيهاتو او سوزوګداز سره
چې د شلمې صدۍ په پښتو شاعرۍ باندې ئې يو ښکاره,چې د شلمې صدۍ په پښتو شاعرۍ باندې ئې يو ښکاره
زما جونګړې ته په ټول ژمي کښې نمر نه,زما جونګړې ته په ټول ژمي کښې نمر نه
کور کړے وو. چې د خطبي نه علاوه د سلطنت ټول کارونه به د هغې په حکم تر سره,کور کړے وو چې د خطب نه علاوه د سلطنت ټول کارونه به هغې په حکم تر سره
تۀ به وائې چې باران دے خو بېخي په سوال ورېږي,تۀ وائي چې باران دے خو بيخي په سوال ورېږي
وو چې هغه ددغه واړه خطرو مقابله کولې شوې ـ  دغه شان مشر,وو چې هغه ددغه واړه خطرو مقابله کولې شوې ـ  دغه شان شر
بس دے ډېر سوالونه  وشول,بس دے ډېر سوالونه وشول
للمه د زړۀ مې وتر شوې ده له کره اوځي,لمه د زړۀ مې وتر شوې ده له کړه اوځي
په کر اؤ کار کښې دې وژلې يمهپه کر اؤ کار کښې دې وژلې يمه,په کراوبهار کښې دې وړلې يمه
چشتيه ئې درله مريد ورسره وۀ ـ  هغه مريد عرض,چشتيه ئې درله مريد ورسره وۀ ـ هغه مريد عرض
سرورکائنات، سرور عالم، ماه يثرب، خېرالورى. يمينة,سرور کائنات، سرور عالم، ماه بشرب، خېرالوری. يمينه
دښمنان هم مۀ وژنه,رښمانان هم وژنه
"كښې د دې په ضد  د مزاحمت تحريكونه"" د دې",کښې د دې په ضر د مزاحمت تحريكونه ددې
يخه يخنې ده دسمبر دے اؤ وريږي واوره,بخه بخنې ده دوسمر دے اؤ ورېږي واوره
تګ ته مې د چا يادونه نۀ پريږديچې فن مې د تخليق نه د جدت تقاضه اوکړه,چې ضن مې تخليق نه د جدت تقاضه اوکړه
روايت ته بادشاهانو ډېره توجه ورکړې وه هغوي,روايت ته بادشاهانو ډيره توجه وركړې وه هغوي
خوشحال بابا وائې,خوشحال بابا وائي
نن چې دې وينم د لاهورصنمه,نن چې دې وينم د لاهود صنم
خبره زر کوه لمبې مې له ځېګره اوځي,خبره زر کوه لمبې مې له ځيګره اوځي
ډاكټر راج ولي شاه خټك: راج ولي شاه صېب د,ډاكټر راج ولی شاه خټك: راج ولی شاه صېب د
اعلی دے که ادنی دے د پوره انسانيت,اعلی دے که ادبی دے د پوره انسانين
طرف ته بهرنے دباؤ او الغاؤ تلغاؤ. او بل طرف,طرف ته بهرنے دباؤ او الغاؤ بلغاؤ. او بل طرف
ټولنې له خوا خپارۀ شو. په دغه زمانه كښې كه يوا خوا,تولنې له خوا خپارۀ شو. په دغه زمانه كښې که يواخط
دي۔ ډاکټر يار محمد مغموم د شاعر د دې قومي شعور په حواله,دي. ډاکټر يار محمد معموم د دې قومي شعور په حواله
دې سره سره د قصيده امالي شرح او ارشاد امريدين,دې سره سره د قصيده امالي شرح او ازشاد امربدين
تک سرۀ غوښن پتونان ښکاري اوېزان هر ځائے کښې,تک سرۀ غوښين متونان ښکاري رويزان هر ځائے کښې
زمونږ د اكېډمۍ په فهرست كښې د,زمونږ د كېډمۍ په فهرست كښې د
اوس خو احساس له پرهرونو,اوسي خو احساس له پرهرونو
کار دے چې د پښتو ادب لمن پرې ډېره فراخه,كار دےـ چې د پښتو ادب لمن پرې ډېره فراخه
