GroundTruth,Prediction
کښې هېڅ شک نشته چې هغه يو الهامي شاعر دے، د رحمان بابا,کښې هېڅ شک نشته چې هغه يو الهامي شاعر دے. د رحمان بابا
پرېږده,پرېږده
الله ورکړې مېلمستياده,الله ورکړې مېلمستيا ده
"د خزانه تلميحات مؤلف د اياز پېژندګلو څۀ په دا ډول كوي: ""د سلطان","د خزانه تلميحات مؤلف د اياز پېژندګلو څۀ په دا ډول کوي : ""د سلطان"
اوس ئې وئيلې چا ته نۀ شي د پښتو له وجې,اوس ئې وئيلې چا ته نۀ شي د پښتو له وجې
راشه ما ستا د ملازو تاله تاوان راوړې,راشا ما ستا د ملازو تاله تاوان راوړې
دالست بربکم او دقالوا بلى وعدې ته څومره پۀ عجيبه انداز,دالست بربکم او د قالوا بلى وعدې ته څومره په عجيبه انداز کښې
انکار دې وو شېرينې له اقراره زبردست,انکار دې وو شېرنې له اقراد زبردست
ادبي تله په لاس کښې نيولي ده.او د هر شاعر،اديب,ادبي تله په لاس کښې نيولې ده. او د هر شاعر، اديب
شکر دے دا چې مې باڼۀ نۀ سوزي,شکر دے دا چې مې باڼه نۀ سوزي
د حالا تو پوهېدو نه بغير داسې خوب بيانؤل چې ګني اوس,د حالا تو پوهېدو نه بغېر داسې خوب بيانؤل چې ګني اوس
"شريک د رنځ شه ـ  ښه خدمت ئے وکړ  ""بارے ملک باز د ميا خان په اخلاص","شريک د رنځ شه ـ  ښه خدمت ئے وکړ ""بارے ملک باز د مياخان په اخلاص"
دَ عبدالله جان عابد ددې دعوې تائيد دَ خداے بخښلي افضل رضا ددې قول نه هم کيږي,ده عبدالله جان عابد ددې دعوې تائيد دَ خداے بخښلي افضل رضا د دې قول نه هم کيږي
لکه بيخي تازه کلۍ د انار,لله بيخي تازه کلۍ د انار
خان راسره وو ـ او د دوئ ميندے، تيراه وته,خان راسره وو ـ او د دوئ ميندے، تيراه وته
ماهيئت په حقله بحث موندلے شي ـ او ددې نه پس په,ماهيئت په حقله بحث موندلے شي ـ او ددې نه پس په
قُلْ هَلْ یَسْتَوِیْ الَّذِیْنَ یَعْلَمُونَ وَالَّذِیْنَ لَا یَعْلَمُونَ,قلْ َلْ یََْویْ الَذِیَْعََُْوَلَذِیْنَ لَعْلَُون
د اکېډمۍ له خوا په ١٩٧١ء کښې په جدون,د اکېډمۍ له خوا په ١٧ء کښې په جدون
خو دې تکه توره شپه کښې,خو دې تکه توره شپه کښې
متلونه د پښتو ژبې يوه اهمه ادبي او معاشرتي پنګه ده,متلونه د پښتو ژبې يوه اهمه ادبي او معاشرتي پنګه ده د
شول ـ بيا ددغه خلقو تقسيم اوشو او په دې,شول بيا ددغه خلقو تقسيم اوشو او په دې
خوشحال خان خټك د قصيدو، غزلو، رباعيانو، او,خوشحال خان خټك د قصيدو، غزلو، رباعيانو، او
"او په ""سندريز الهام"" کښې ئې هم ځنې داسې","او په ""سندريز الهام"" کښې ئې هم ځنې داسې"
دجال د کذاب او دروغژن مسيح لقب دے.چې په اخره زمانه کښې به,دجال د کذاب او درو غژن مسح لقب دے چې پۀ اخره زمانه کښې به
اولور رازونه شريک دىچې څومره خلې هومره خبرې.,او لور رازونه شريک دى چې څومره خلې هومره خبرې
شمعې! وژل دې مناسب نه ګڼم,شمې! وژل دې مناسب نه ګڼم
ښکلي چمنونه دي,ښکلي چمنونه دي
ويشتلي,شتلي
د خوندی كولو په اړه څه تجاويز وړاندې كړل كوم چې وروستو د عجائب خانې,دا خوندی كولو په اړه څه تجاويز وړاندې كړل كوم چې وروستو د عجائب خانی
بوتلو. څۀ موده دے هلته وو.بيا چې کله شاه سليم بادشاه شو,بوتلو. څۀ موده دے هلته وو بيا چې کله شاه سليم بادشاده شو
په تاڼه کښې هم دَ ګلاب شاه شلماني په نامه ژوند کوو او لکه دَ,په تاڼه کښې هم د ګلاب شاه شلماني په نامه ژوند کوو که د
پټه کړې د مخ ويره,وپټه کړې د مخ ويره
هندوستان کښې امرتسر ، دهلي,هندوستان کښې امرتسر، دهلي
لۀ تور لحده چاره نشته,لۀ تور لحده چاره نشته
"دي"". په يوه بله موقع هغه د کهېل نظريې وضاحت داسې کوي. د","دي"" په يوه بله موقع هغه د کهېل نظريې وضاحت داسې کوي. د"
” هائيکائي“ نه رابېل کړے دے او انګرېزي ادب هم,هائيکائي““ نه رابېل کړے دے او د انګرېزي ادب هم
چې هغه د نړيوالو  فلسفيانو او پوهانو د افکارو لوسته لرله  او د,چې هغه د نړيوالو فلسفيانو او پوهانو د افکارو لوسته لرله او د
﻿هتيار اوغورځوی ـ  خليفه هم دغه شان حکم کړے وو ـ د هغۀ اکثر خلق د وسلې نه بغير رااو,هتيار اوغورځوي ـ  خليفه هم دغه شان حکم کړے وو ـ د هغه اکثر خلق د وسيلې نه بير راو
د ښاغلى دوست په ترتيب شوى ديوان مرزاخان انصارى,د ښاغلی دوست په ترتيب شوی ديوان مدزخان انصاری
"شته او ګداز هم."" (٦٧)",شته او ګداز هم.(٦٧)
په سويلي وزيرستان کښې د محسودو,په سويلي وزيرستان کښې د محسودو
ژباړه: دَ تاڼې دَ خانخېلو دَ مشرانو سره چې کله په دې سلسله کښې,ژباړه: دَ تاڼې دَ خانخېلو دَ مشرانو سره چې کله په دې سلسله کښې
داد سيندونو ګلابونو او سپرلو وطن دے,دا د سيندونو ګلابونو او سپرلو وطن دے
د ځنو شواهدو په رڼا کښې مونږ وئيلې شو,د ځنو شواهدو په رڼا کښې مونږ وئيلې شور
چې انسان دومره مکار دے,چې انسسان دومره مکار دے
پس جهانزېب نياز په ما پسې راغے او,پس جهانزيب نياز په ما پسې راغے او
نوي نوي پېغامونه لري غيږ کښې,نوې نوې پېغامونه لرې غېږ کښې
جي تحريك اثرات په پښتو ادب٬حاجي صاحب,بې تريک اثرات په پښتو ادب حاجي صاحب
د نورو ګڼو شاعرانو پۀ پوره توګه نۀ دى معلوم. د کلام د داخلى شهادتونو,د نورو ګڼو شاعرانو پوره توګه نۀ دى معلوم د د اخلى شهادتونو
کتاب د پښتنو طالبعلمانو ، شاعرانو او تنقيد,كتاب د پښتنو طالبعلمانو، شاعرانو او تنقيد
ښاغلے فضل مير خټک دَ غاړې دَ سر ليک لاندې دَ کاکړۍ په نسبت,ښاغلے فضل ميد خټک دَ غاړې دَ سر تيک لاندې دَ کاکړۍ په نسبن
کښې د عمراني فکر او شعور په حواله ترې دلته,کښې يو څوشالونه د عمراني فکر او شعور په حواله ترې دلته
څو سکندره څو يوسف به درته ياد کا,څو سکندره څو يوسف به درته ياد کا
نظم باره کښې ډاکټر سلمٰٰٰٰى شاهين  وائي,نظم باره کښې ډاکټر سلمٰ شاهن وائي
زه دې د پکه سره څه خبره ومه,زه دې د پکه سره څه خبره ومه
ترجمې البته شته. كه تصديعه,ترجمې البته شته كه تصديعه
اوس چې جانان غزل نه اوباسئ,اوس چې جانان غزل نه اوبائي؟
د احتياط لاس مې سوری شو,د احتياط لاس مې سوري شو
شوې دي:,شوی دی
زرخېزه ګلورينه او ګلفام پاکستان,زرخيزه ګلورينه او ګلفام پاکستان
وخته پورې ئې د خپل پلار خونه د ه پرښی ـ  ددې برعکس د تاريخ مرصع,وخته پورې ئې د خپل پلار خونه ده پرښې ـ  ددې برعکس د تاريخ مړصع
خبر مې کله کله اخله,خبر مې کله کله اخله
دانګي مې سترګو نه بڅري,دانګې مې سترګو نه بڅري
ستا نامه به ترېنه خېژي په شپېلي کښې,ستا نامه به ترېنه خېژي په شپېلۍ کښې
کښې اوسې پريږده مړه ساده سړيه ما وئيل چې کۀ چرته دې د کار خبره,کښې اوسې پريږده مړه ساده سړيه ماوئيل چې که چرته دې د کار خبره
﻿ هغوي نشر کړو ـ په دې  سره زما حوصله اوچته شوه او د خپل,هغوي نشر کړوـ په دې سره زما حوصله اوچته شوه او د خپل
﻿قران مجيد پۀ دې باب کښې څه دا شان ناطق دے,قران مجيد پۀ دې باب کښې څه د انسان ناطق دے.
رحمان بابا قلندر دے خو کوږ دستار تړلے قلندر دے,رحمان بابا قلندر دے خو کوږ د ستار تړلے قلندر دے
د نظم لمن چې د غزل په مقابله کښې اول هم,د نظم لمن چې د غزل په مقابله کښې اول هم
تاريخی كتاب شائع كړی او د خپل لنډو تنګو مالی وسائيلو باوجود يې,تاريخی كتاب شائع كړی او د خپل لندو تنكو مالی وسائيلو باوجود پی
ناليکلے ضابطه ده دغه ناليکلے ضابطه او ناليکلے آئين او,ڼاليکے ضابطه ده دغه ناليکلے ضابطه او ناليکلے آئين او
ستا وطن کښې زما نوم نشته دے لاله,ستا وطن کښې زما نوم نشته دے لاله
هغه ايله د کار سړے شي سړو,هغه ايله ده کار سړے شی سړو
دے غونډئ ته کجو غونډئ وائی ـ وئيلے شي چه دده اولاد,دے غونډئ نه کجو غونډئ وائي ـ ويلے شي چه دده اولاد
زۀ د ګل انجام ته خفه کېږمه,زه د ګل انجام ته خفه کېږمه
او افغانستان په علاقو کښې خواره دي. هغه د حضرت,او افغانستان په علاقو کښې خواره دي. هغه د حضرت
ژبې زمونږه په جندره کښې ساتي,ژبې زمونږه په جندره کښې ساتي
کولو مامور کړے شو ـ او دۀ د هغوي پۀ قتلولو او ګرفتارولو کښې زيار او,کولو مامور کړے شو ـ او دۀ د هغوي په قتلولو او ګرفتارولو کښې زيار او
مړنے په کرده ډېر وئيل ئې لږ وي,مړنے په کرده ډېر وئيل ئې لږ دي
د ننګ پوره مفهوم او مطلب ترې ډېر په ښه جوړ واضح,د ننګ پوره مفهوم او مطلب ترې ډېر په ښه جوړ واضح
که د لېلى مړے د قبر خواله وړېنه,که د لېلى مړے د قبر حواله وړېنه
خېرالبيان غوندې ناوياته كتاب چې مولانا عبدالقادر د,دخېرالبيان غوندې ناوياته كتاب چې مولانا عبدالقادر د
دمشق مصر، ايران او كابل كښې,د مشق مصر، ايران او كابل كښې
غذ ليکلے ؤ ـ هغه مسوده هم وه مونږ به,غز ليلے ؤ ـ هغه مسودهم وه مونږ به
او په لاهور ئې قبضه وکړه ـ  هم د دغې,او په لاهور ئې قبصه وکړه ـ هم د دغې
دے كه نۀ دے؟ چې لوستونكے يې په استعمال كښې,دے که نۀ دے؟ چې لوستونكے يې په استعمال كښې
خېل بائيزى ؤ، اباخېل د يوسفزو يوه مشهوره څانګه ده او د ادم خان,خېل بائيزي ؤ، ابا خېل د يوسفزو يوه مشهوره څانګه ده ادم خان
رب دې له دښمنه کړي داخاوره په امان,رب دې له دښمنه کړي داخاوره په امان
بنګش غوندې متون د تدوين له لارې محفوظ كړے,بګش غوندې منون د تدوين له لارې محفوظ كړے
دا دنيا د سپى لکۍ ده نه نيغيږى نه سميږى‎‎,دا دنيا د سپى لکۍ ده نه نېغيږي نه سمېږي
دغسې ددې سکول  او ددې د جديد تعليم تر,دغسې ددې سکول او ددې د جديد تعليم تر
وي ـ  په چاربېته کښې دَ بندونو دَ شمېر هم څۀپابندي نشته ، دا,وې ـ  په چاربېته کښې دَ بندونو دَ شمېر هم څۀ پابندي نشته ، دا
که شاهزادګۍ راته کوي نه يې کومه,که شاهزادګۍ راته کوي نه يې کومه
دا چې دده ورکړې شوې تر اوسه منظور دي,دا چې دده ورکړې شوې تر اوسه منظور دي
مونږه غريبان يو زمونږ مينے دي,مونږه غريبان يو زمونږ مينے دي
نزدې نزدې دَ نړۍ هره ژبه روماني,نزدې نزدې د نړۍ هره ژبه روماني
دى:,دی
مېنه دې نۀ ده بې شرمي ده,مېنه دې نۀ ده بې شرمې ده
په سؤنو کاله وړاندې لرى او د معلومو اثارو له مخه د,په سؤنو كاله وړاندې لری او د معلومو اثارو له مخه د
کړي او د هغوي ادبي روشونه او هدفونه ئې توضيح کړي، چې په,کړي.او د هغوي ادبي اوشونه او هدفونه ئې توصيح کړي، چې په
ستا په مړو سترګو کښې څۀ خويد مسيحا پۀ شان دے,ستا په مړو سترګو کښې څۀ خويد مسيحا پۀ شان دے
خدای دې په واورو کې ايسار کړه,خدای دې په واورو کې ايسلا کړه
مسرت بخښي١٦ ‘‘,مسرت بخښي٦ ‘
يامين پۀ شرعى حيله د نورو وروڼو نه د ملزم پۀ حېث منع کړې شو,يامين پۀ شرعى حيله د نورو وروڼو نه ملزم په حېث منع کړې شو
د افغانستان عامې روغتا وزارت په تېرو څلروشت ساعتونو,د افغالنستان عامې روغتا وزارت په تېرو څلروشت ساعتونو
د پښتو اکېډمۍ په تدوينى خدماتو کښې د,د پښتو اكېډمۍ په تدوينی خدماتو كښې د
محمد د انبياءُ شهنشاه دے,محمد د انبياء شهشاه دے
دغه ليك به د كتابت له لارې په څو څو شكله رامېنځ ته,دغه ليك به د كتابت له لارې په څو څو شكله رامېنځ ته
پس د سيد عظيم شاه خيال بخاری د ټاكنې پورې څه,پس د سيد عظيم شاه خيال بخاری د ټاكنې پورې څه
د اخوند دروېزه  په اثارو کښې د زيات شهرت لرونکي اثر,د اخون دزوېزه په اثارو کښې د زيات شهرت لرونکي اثر
خوږ پاکستان وطنه,خوږ پاکستان وطنه
اعلـى تعليميافته شخصيت ؤ ـ د دوي تربيت,اعلـى تعليميافته شخصيت ؤ. د دوي تربيت
کشمير ته رامخکښې شو نو اسلام شاه ورله شکست ورکړو.,کشمير نه رامخکې شو نو اسلام شاه ورله شکست ووکړو
چار چاپېره په ماحول کښې څومره زوږ دے,چار چاپېره په ماحول کښې څومره زوږ دے
محترم  حماد (رح)  د امام صيب په حواله  يادکړې دے ۔,محترم حماد (رح) د امام صيب په حواله ياد کړې دے
د تهذيب او اخلاق او تمدن او معاشرت څۀ اصول,د تهذيب او اخلاق او غمون او معاشرت څۀ اصول
ددې واقعې په شا يوه بله دردناکه واقعه هم ذکر کوي ـ  دَ هغۀ په,ددې واقعې په شا يوه بله دردناکه واقعه هم ذکر کوي ـ  دَ هغه په
د وينو رنګ مې ګلابي جامې اغوستې ورته,د وينو رنګ مې ګلابۍ جامې اغوستې ورته
بې لۀ آشنا ژوند پۀ دوزخ کې تېرؤمه,بې لۀ آشنا ژوند پۀ دوزخ کې تېرومه
د يوسفزيو پښتنو په حقله ليكلے شوے دا تاريخی دستاويز تر ډېره وخته,د يوسفزيو پښتنو په حقله ليكلے شوے دا تاريخی د ستاونز تر ډېره وخته
بايزيد طيفور البسطامي هم وائي. د دوي نيکه اتش,بايزيد طيفور البسطامي هم وائي. د دوى نيکه اتش
زرو روپو د انعام ورکړو ـ دغه رنګ د جلوس پۀ دريم کال چې شاهي لښکر دکن,زور روپو د انعام ورکړو ـ دغه رنګ د جلوس په درېم کال چې شاهي لښکر دکن
سورو منصب پيرزو کړے شو ـ او د سعادت خان پۀ ځاے ئې د غزني تاڼيدار,سورو منصب پيرزو کړے شو ـ  او د سعادت خان پۀ ځاے ئې د غزلې تاڼيده
نه غيرت، نه چا کې پت شته,نه غيرت، نه چا کې پت شته
په اولاد کښې ئې جوت اثر لېدے شي,په اولاد کښې جوت اثر ليدے شي
او هم دغه خيال دَ الفاظوو په لږ ډېر بدلون فېض الوهاب فېض هم,او هم دغه خيال دَ الفاظو په لږ ډېر بدلون فېض الوهاب فېض هم
رياضياتي جلال او بل ته حرکي جلال وائي.,زياصياتي جلال او بل ته حرکي جلال وائي
ئې پورا پورا جاج اخستے او د مېرمنو د احترام ٬د بشري,نن پورا پورا اجاج اخستے او د مېرمنو د احترم٬ د بشري
درخانۍ پۀ سپېځلې جامه کښې او بيا هر مئين او هره معشوقه ده,درخانۍ پۀ سپېځلې جامه کښې او بيا هر مئين او هرو معشوقه ده
دا نسخه څوكاله پخوا د پښتو ژبې يو زوړ ليكوال محمد عمر بلبل افغان د,دا نسخه څو كاله پخوا د پښتو ژبې يو زوړ ليكوال محمد عمر بلبل افغان د
رابه شي څو که پۀ ولقه کښې مې د جال نۀ راځي,رابه شي څو که پۀ ولقه کښې مې د جال نۀ راځي
ملګرې هم دے ۔ هغو د ايوب صابر د ادبي سفر,ملګرې هم دے۔ هغو د ايوب صابر د ادبي سفر
قبوله کړه. شېخ وئيل هر چې فرمائې په سر سترګو مې قبول,قبوله کړه شېخ وئيل هر چې فرمائي په سر سترګو مې قبول
د تفصيلی كيټلاګ د,د تفصيلی کيټملاګ د
شېخه په ما پورې خندا دې وکړه,شېېخه په ما پورې خندا دې وکړه
سپين مخ مې چې سبا غوندې روښان ليدلی دی,سپين مخ مې چې سبا غوندې روښان ليدلی دی
خداېزده چې نور به لا په ځان څه کوي,خدايزده چې نور به لا په ځان څه کوي
وطن چې ئې زمونږ په بې دردۍ سره لوټلے,وطن چې ئې زمونږ په بې دردۍ سره لوټلے
ثقافتي رواياتو باندې نظر لرل ، او جرګې ته د راتلونکي,ثقافتي رواياتو باندې نظر لرل، او جرکې ته راتلونکي
ټولنې په كال ۱۳۳۲د زمری په مياشت كښې شائع كړې ده,ټولنې په كال ۱۳۷د زمری په مياشت كښې شائع كړې ده
دريابه ژبه او کلتور ګټمه,دويابه ژبه او کلتورګټيمه
بادره هم دومره ده، لکه غرئيزه پېغله,بادره هم دومره ده، لکه غرتيزه پېغله
سلطان محمد فاتح په ۸۵۵ ھ کښې په تخت کښېناست,سلطان محمد فاتح په ۸۵۵هھ کښې په تخت کښېناست
د کفر او الحاد د شپې ئې زړۀ وچؤو سحر دے,د کفر او الحاد د شپې ئې زړۀ وچؤو سحر دے
چرته لرې غرۀ لمن کښې,حرته لرې غرۀ لمن کښې
ما هلته بوځۍ زۀ پۀ بل يو ځائے کښې نۀ رغېږم,ما هلته بوځۍ زه پۀ بل يو ځائے کښې نۀ زغېږم
صنف د بدلې دے. دې ته ځنې خلق سندره هم وائى او,صنف دَ بلدلې دے. دې ته څۀ خلق سنره هم وائي او
"باره کښې داسې بيان کړې شوي دي . ليکي : ""ابراهيم لودهي د پلار","باره کې داسې بيان کړې شوي دي. ليکي : ""ابراهيم لودهي د پلار"
يو وخت وو چې دَ ملاکنډ دَ سيمې په هره حجره کښې به دَ فقير شاه,يو وخت وو چې دَ ملاکنډ دَ سيمې په هره حجره کښې به دَ فقير شاه
لاهور، ستمبر ۱۹۹۴ء,لاهور ستمبر ١۹۴ء
سبک د شعر او هنر پر سينه د يوه ځلانده غمي په شان ځلېږي، سبک د مضمون رنګ دے,سبک د شعر او هند په سينه دَ يوه ځلانده غمي په شان ځليږي ـ سبک د مضمون رنګ دے
عبدالقادر خان خټک په کلام کښې د عشقيه  ، اخلاقی او صوفيانه,عبدالقادر خان خټک په کلام کښې د عشقيه، اخلاقى او صوفيانه
صادق بن محمد شريف وو. محمد صادق په خپل ژوند کښې د سيدو,صادق بن محمد شريف وو. محمد صادق په خپل ژوند کښې د سېدو
پښتونولي د پښتنو د ژوند ژواک تېرولو او د معاشرت يوه,پښتونولۍ د پښتنو د ژوند ژواک تېرولو او د معاشرت يوه
يادېدم,يادېدم
دريابهؔ زه د خپل وطن غمونو,درېابه زه د خپل لوطن غمونو
په خپل کلي کښې تېر کړے وو او بيا د دغه کلي وال,په خپل کلي کښې تېر کړے وو او بيا دغه کلي وال
نه پس د طائر صېب خيال د لاهور ګورنمنټ کالج طرف,نه پس د طائر صېب خيال د لاهور ګورنمنټ کالج طرف
سکندر شاه: د سکندر شاه د ژوند په حقله,سکندر شاه: د سکندر شاه د ژوند په حقله
ما به وې داده راغله داده راځي اوس به راشي,ما به وې داده راغله داده راځي اوس به راشي
د خپل غېرت  خپلې حيا نه اخر چرته لاړ شي,د خپل غېرت خپلې حيا نه اخر چرتهه
دَ هند دَ پاکستان,دَ هند دَ پاکستان
خدايه په ستونزو چې ددې زپلي قام پوهېږي,خدايه په ستونزو چې ددې زپلي قام پوهېږي
پښتو سر ته نشي رسولے۔ خو بيا ځنې داسې,پښتو سر ته تشي رسولے۔ خو بيا ځسنې داسې
سر درې دل شوې، وطن لتاړ شو د رب بې شانه،,سردره دل شوې، وطن لتاړ شو د رب بې شانه،
د جدت، حسن بيان، نوی خيالوتو، تشبيهاتو او سوزو ګداز سره,د جدت، حسن بيان، نوي خيالونو، تشبيهاتو او سوزو ګداز سره
چې د شلمې صدۍ په پښتو شاعرۍ باندې ئې يو ښکاره,چې د شلمې صدۍ په پښتو شاعرۍ باندې ئې يو ښکاره
زما جونګړې ته په ټول ژمي کښې نمر نه,زما جونګړې ته په ټول ژمي کښې نر نه
کور کړے وو. چې د خطبي نه علاوه د سلطنت ټول کارونه به د هغې په حکم تر سره,کور کړے وو. چې د خطبي نه علاوه د سلطنت ټول کارونه به هغې په حکم تر سره
تۀ به وائې چې باران دے خو بېخي په سوال ورېږي,ته وائي چې باران دے خو بېخي په سوال ورېږي
وو چې هغه ددغه واړه خطرو مقابله کولې شوې ـ  دغه شان مشر,وو چې هغه ددغه واړه خطرو مقابله کولې شوې ـ  دغه شان مشر
بس دے ډېر سوالونه  وشول,بس دے ډېر سوالونه وشول
للمه د زړۀ مې وتر شوې ده له کره اوځي,لمه د زړۀ مې وتر شوې ده له کړه اوځي
په کر اؤ کار کښې دې وژلې يمهپه کر اؤ کار کښې دې وژلې يمه,په کر اوکار کښې دې وژلې يمهمه
چشتيه ئې درله مريد ورسره وۀ ـ  هغه مريد عرض,چشتيه ئې درله مريد ورسره وۀ ـ  هغه مديد غرض
سرورکائنات، سرور عالم، ماه يثرب، خېرالورى. يمينة,سرورکائنات، سرور عالم، ماه بشرب، خېرالورى. يمينة
دښمنان هم مۀ وژنه,دښمانان هم وژنه
"كښې د دې په ضد  د مزاحمت تحريكونه"" د دې",كښې د دې په ضر د مزاحمت تحريكونه د دې
يخه يخنې ده دسمبر دے اؤ وريږي واوره,يخه بخنې ده دولسمبر دے اؤ وريږي واوره
تګ ته مې د چا يادونه نۀ پريږديچې فن مې د تخليق نه د جدت تقاضه اوکړه,ه وې هې ل نه جدت تقاضه اوکړه
روايت ته بادشاهانو ډېره توجه ورکړې وه هغوي,روايت ته بادشاهانو ډېره توجه وركړې وه هغوي
خوشحال بابا وائې,خوشحال بابا وائي
نن چې دې وينم د لاهورصنمه,من چې دې وېنم د لامودصنمه
خبره زر کوه لمبې مې له ځېګره اوځي,خبره زر کوه لمبې مې له ځينګره اوځي
ډاكټر راج ولي شاه خټك: راج ولي شاه صېب د,ډاكټر راج ولی شاه خټك: راج ولی شاه صېب د
اعلی دے که ادنی دے د پوره انسانيت,اعلی دے که ادنی دے د پوره انسانيټ
طرف ته بهرنے دباؤ او الغاؤ تلغاؤ. او بل طرف,طرف ته بهرے د باؤ او الغاؤ تلغاؤ. او بل طرف
ټولنې له خوا خپارۀ شو. په دغه زمانه كښې كه يوا خوا,ټولنې له خوا خپارۀ شو. په دغه زمانه كښې که يوا خوا
دي۔ ډاکټر يار محمد مغموم د شاعر د دې قومي شعور په حواله,ديـډاکټر يار محمد مغموم د دې قومي شعور په حواله
دې سره سره د قصيده امالي شرح او ارشاد امريدين,دې سره سره د قصيده امالي شرح او ارشاد امريدين
تک سرۀ غوښن پتونان ښکاري اوېزان هر ځائے کښې,تک سرۀ خوين جنونان ښکاري روېزان هر ځائے کښې
زمونږ د اكېډمۍ په فهرست كښې د,زمونږ د اكېډمۍ په فهرست کښې د
اوس خو احساس له پرهرونو,اوس خو احساس له پرهرونو
