CER,GroundTruth,ImageID,ImagePath,Label,Notes,Prediction,Timestamp
1.0,شهد بذلك مدونها العريجي,train_015836,../data/muharaf_prepared_resized/train/train_015836.png,Irrelevant / signature,,,2025-11-26T19:53:35
1.0,FA Wayne,train_001689,../data/muharaf_prepared_resized/train/train_001689.png,Script mismatch (non-Arabic),,Bo,2025-11-26T19:53:44
1.0,سَمعان سَليمان داود صورات,train_015855,../data/muharaf_prepared_resized/train/train_015855.png,Irrelevant / signature,,,2025-11-26T19:53:49
1.0,رئىس ىعوم دىب العارح,train_013664,../data/muharaf_prepared_resized/train/train_013664.png,Irrelevant / signature,,,2025-11-26T19:54:05
1.0,شيخ قرية اسمر جبيل,train_016447,../data/muharaf_prepared_resized/train/train_016447.png,Irrelevant / non-text,,,2025-11-26T19:54:18
1.0,بلدية كفرشيما رئىس ىعوم دىب العارح,train_013642,../data/muharaf_prepared_resized/train/train_013642.png,Irrelevant / signature,,,2025-11-26T19:54:28
1.0,رىس ابراهىم الحىاط,train_013561,../data/muharaf_prepared_resized/train/train_013561.png,Irrelevant / signature,,ي,2025-11-26T19:54:35
1.0,جرجي دمتري سرسق,train_001788,../data/muharaf_prepared_resized/train/train_001788.png,Irrelevant / signature,,ح,2025-11-26T19:54:39
1.0,كاتب طوبيا حنا رزق عبدللى,train_015890,../data/muharaf_prepared_resized/train/train_015890.png,Irrelevant / signature,,,2025-11-26T19:54:44
1.0,الوكيل الرسمي,train_015903,../data/muharaf_prepared_resized/train/train_015903.png,Valid but hard,,,2025-11-26T19:55:10
1.0,هنا ادرس الياس بطرس ابراهيم بطرس,train_008739,../data/muharaf_prepared_resized/train/train_008739.png,Irrelevant / signature,,,2025-11-26T19:55:18
1.0,معاملة البترون مختار صورات رشكده سنة ١٩٢٨,train_015865,../data/muharaf_prepared_resized/train/train_015865.png,Irrelevant / non-text,,ي,2025-11-26T19:55:22
1.0,٢١ شباط سنة ٩٢٦,train_013473,../data/muharaf_prepared_resized/train/train_013473.png,Segmentation error,,,2025-11-26T19:55:30
1.0,٢٤ آب سنة ٩٣٣	خالد سنا,train_015864,../data/muharaf_prepared_resized/train/train_015864.png,Segmentation error,,١,2025-11-26T19:55:33
1.0,ولد سيادتكم سليم ضاهر,train_010065,../data/muharaf_prepared_resized/train/train_010065.png,Irrelevant / signature,,,2025-11-26T19:55:39
1.0,سبعلي,train_020824,../data/muharaf_prepared_resized/train/train_020824.png,Irrelevant / signature,,,2025-11-26T19:55:41
1.0,الوصي الشرعي كاتبه,train_016736,../data/muharaf_prepared_resized/train/train_016736.png,Irrelevant / signature,,,2025-11-26T19:55:43
1.0,(٣    3,train_006085,../data/muharaf_prepared_resized/train/train_006085.png,Script mismatch (non-Arabic),,,2025-11-26T19:55:45
1.0,المقره بيأسم افيميا ابنة منصور يعقوب طرزا,train_015934,../data/muharaf_prepared_resized/train/train_015934.png,Irrelevant / signature,,,2025-11-26T19:55:59
1.0,كفيل نخله جبرايل النخل طرزا,train_015937,../data/muharaf_prepared_resized/train/train_015937.png,Irrelevant / signature,,,2025-11-26T19:56:02
1.0,الرئيس جرجس شاول,train_016475,../data/muharaf_prepared_resized/train/train_016475.png,Irrelevant / signature,,,2025-11-26T19:56:04
1.0,OF TEXAS,train_018610,../data/muharaf_prepared_resized/train/train_018610.png,Script mismatch (non-Arabic),,,2025-11-26T19:56:10
1.0,امين الريحاني,train_001212,../data/muharaf_prepared_resized/train/train_001212.png,Irrelevant / signature,,,2025-11-26T19:56:14
1.0,عضو انطون بطرس نهرا,train_016472,../data/muharaf_prepared_resized/train/train_016472.png,Irrelevant / signature,,,2025-11-26T19:56:28
1.0,رىس ىعوم دىب العارح,train_013652,../data/muharaf_prepared_resized/train/train_013652.png,Irrelevant / signature,,,2025-11-26T19:56:29
1.0,ماضي خليل طربي كيروز,train_016702,../data/muharaf_prepared_resized/train/train_016702.png,Irrelevant / signature,,,2025-11-26T19:56:31
1.0,57,train_018467,../data/muharaf_prepared_resized/train/train_018467.png,Script mismatch (non-Arabic),,٥,2025-11-26T19:56:34
1.0,جبير مطران طرابلس,train_009192,../data/muharaf_prepared_resized/train/train_009192.png,Irrelevant / signature,,,2025-11-26T19:56:38
1.0,نظر 		القائمقام	حبيب سلوم,train_016504,../data/muharaf_prepared_resized/train/train_016504.png,Irrelevant / signature,,,2025-11-26T19:56:51
1.0,6,train_017517,../data/muharaf_prepared_resized/train/train_017517.png,Script mismatch (non-Arabic),,٥,2025-11-26T19:56:56
1.0,المدعى العام,train_015678,../data/muharaf_prepared_resized/train/train_015678.png,Irrelevant / signature,,,2025-11-26T19:56:59
1.0,يشهد بدالك يخصها ميره على دفتر الحاكم,train_014197,../data/muharaf_prepared_resized/train/train_014197.png,Segmentation error,,,2025-11-26T19:57:10
1.0,69,train_018589,../data/muharaf_prepared_resized/train/train_018589.png,Script mismatch (non-Arabic),,160,2025-11-26T19:57:14
1.0,٢٠ تشرين اول ١٩٥٨,train_010117,../data/muharaf_prepared_resized/train/train_010117.png,Segmentation error,,,2025-11-26T19:57:23
1.0,اَلحُرِيّةُ,train_019105,../data/muharaf_prepared_resized/train/train_019105.png,Valid but hard,,ج,2025-11-26T19:57:29
1.0,محمد امين الحسيني,train_002640,../data/muharaf_prepared_resized/train/train_002640.png,Irrelevant / signature,,,2025-11-26T19:58:28
1.0,4/3,train_011813,../data/muharaf_prepared_resized/train/train_011813.png,Script mismatch (non-Arabic),,,2025-11-26T19:58:32
1.0,٧ ايلول ٩٣٢	محكمة لبنان الشمالي البدائية النيابة العامة,train_016413,../data/muharaf_prepared_resized/train/train_016413.png,Segmentation error,,,2025-11-26T19:58:43
1.0,4,train_019094,../data/muharaf_prepared_resized/train/train_019094.png,Script mismatch (non-Arabic),,1,2025-11-26T19:58:44
1.0,يوسف بك الحلو,train_015956,../data/muharaf_prepared_resized/train/train_015956.png,Irrelevant / signature,,,2025-11-26T19:58:49
1.0,رىس ىلدية كفرشيما ىعوم دىب العارح,train_013630,../data/muharaf_prepared_resized/train/train_013630.png,Irrelevant / signature,,,2025-11-26T19:58:52
1.0,ولد سادكم ىوسف موسى ابراهم,train_008700,../data/muharaf_prepared_resized/train/train_008700.png,Irrelevant / signature,,,2025-11-26T19:58:54
1.0,N.J.,train_001639,../data/muharaf_prepared_resized/train/train_001639.png,Script mismatch (non-Arabic),,ر,2025-11-26T19:58:59
1.0,الجمهورية اللبنانية ١٨/١/٥٤ رقم ١٣٣,train_016565,../data/muharaf_prepared_resized/train/train_016565.png,Irrelevant / signature,,,2025-11-26T19:59:02
1.0,. . .,train_017499,../data/muharaf_prepared_resized/train/train_017499.png,Wrong transcription,,خ,2025-11-26T19:59:18
1.0,26,train_015203,../data/muharaf_prepared_resized/train/train_015203.png,Wrong transcription,,٢٦,2025-11-26T19:59:22
1.0,نحىب,train_005041,../data/muharaf_prepared_resized/train/train_005041.png,Irrelevant / signature,,,2025-11-26T20:00:11
1.0,كاتب موسى فرحات فرح يوسف فرحات,train_000195,../data/muharaf_prepared_resized/train/train_000195.png,Irrelevant / signature,,,2025-11-26T20:00:13
1.0,لولدكم كروجر عطالله,train_018313,../data/muharaf_prepared_resized/train/train_018313.png,Irrelevant / signature,,ي,2025-11-26T20:00:20
1.0,Nº,train_004432,../data/muharaf_prepared_resized/train/train_004432.png,Script mismatch (non-Arabic),,٥,2025-11-26T20:00:26
1.0,محكمة بدايت قضاء بترون ١٣٠١,train_016190,../data/muharaf_prepared_resized/train/train_016190.png,Script mismatch (non-Arabic),,ل,2025-11-26T20:00:29
1.0,نهاد,train_019133,../data/muharaf_prepared_resized/train/train_019133.png,Wrong transcription,,,2025-11-26T20:01:06
1.0,لولدكم  كروجر عطالله,train_018260,../data/muharaf_prepared_resized/train/train_018260.png,Irrelevant / signature,,,2025-11-26T20:01:14
1.0,محكمة البترون الصلحية,train_016412,../data/muharaf_prepared_resized/train/train_016412.png,Irrelevant / non-text,,,2025-11-26T20:01:27
1.0,جورج,train_005206,../data/muharaf_prepared_resized/train/train_005206.png,Valid but hard,,,2025-11-26T20:01:34
1.0,20,train_017799,../data/muharaf_prepared_resized/train/train_017799.png,Script mismatch (non-Arabic),,3,2025-11-26T20:01:40
1.0,القس طوبيا,train_018089,../data/muharaf_prepared_resized/train/train_018089.png,Irrelevant / signature,,,2025-11-26T20:01:44
1.0,رىس ىلديه كفرشيما نعوم ديب,train_013593,../data/muharaf_prepared_resized/train/train_013593.png,Irrelevant / signature,,,2025-11-26T20:02:59
1.0,كاتب نصار طانيوس السمراني,train_000211,../data/muharaf_prepared_resized/train/train_000211.png,Irrelevant / signature,,,2025-11-26T20:03:15
1.0,عام,train_012223,../data/muharaf_prepared_resized/train/train_012223.png,Valid but hard,,٣,2025-11-26T20:03:20
1.0,من فضلكم,train_010816,../data/muharaf_prepared_resized/train/train_010816.png,Orientation error,,,2025-11-26T20:03:24
1.0,18,train_017767,../data/muharaf_prepared_resized/train/train_017767.png,Script mismatch (non-Arabic),,6,2025-11-26T20:03:28
1.0,نعمه الله,train_010430,../data/muharaf_prepared_resized/train/train_010430.png,Valid but hard,,,2025-11-26T20:03:40
1.0,ولد سيادتكم سلىم صاهر,train_010149,../data/muharaf_prepared_resized/train/train_010149.png,Irrelevant / signature,,,2025-11-26T20:03:45
1.0,لحضرة الاجل الاكرم الخواجه يوسَف نادر رعد الافخم,train_010817,../data/muharaf_prepared_resized/train/train_010817.png,Orientation error,,,2025-11-26T20:03:52
1.0,مرحبه,train_017019,../data/muharaf_prepared_resized/train/train_017019.png,Valid but hard,,,2025-11-26T20:04:14
1.0,ولدكم,train_019106,../data/muharaf_prepared_resized/train/train_019106.png,Valid but hard,,,2025-11-26T20:04:25
1.0,الى ابن  عمكم بشاره مرعي منصور,train_018667,../data/muharaf_prepared_resized/train/train_018667.png,Irrelevant / signature,,,2025-11-26T20:04:36
1.0,بوافة سهيل,train_014893,../data/muharaf_prepared_resized/train/train_014893.png,Wrong transcription,,بوفاة الدكتور سهيل,2025-11-26T20:04:48
1.0,اطال الله تعالى بقاه,train_010809,../data/muharaf_prepared_resized/train/train_010809.png,Orientation error,,,2025-11-26T20:04:56
1.0,كاترين يزبك,train_018693,../data/muharaf_prepared_resized/train/train_018693.png,Irrelevant / signature,,ح,2025-11-26T20:05:08
1.0,عد ٣     2,train_018854,../data/muharaf_prepared_resized/train/train_018854.png,Script mismatch (non-Arabic),,,2025-11-26T20:05:13
1.0,(مكان الختم),train_004765,../data/muharaf_prepared_resized/train/train_004765.png,Segmentation error,,,2025-11-26T20:05:31
1.0,ولد سيادتكم محول حروح,train_010148,../data/muharaf_prepared_resized/train/train_010148.png,Irrelevant / signature,,,2025-11-26T20:05:35
1.0,مختار مرتموره مخول موسى فهد,train_010079,../data/muharaf_prepared_resized/train/train_010079.png,Irrelevant / signature,,,2025-11-26T20:05:54
1.0,مختار مرتموره    مخول موسَى فهد,train_010094,../data/muharaf_prepared_resized/train/train_010094.png,Irrelevant / signature,,,2025-11-26T20:05:56
1.0,مختار الضهر      بدوي اسعد بطرسَ,train_010092,../data/muharaf_prepared_resized/train/train_010092.png,Irrelevant / signature,,,2025-11-26T20:06:00
1.0,انه,train_001076,../data/muharaf_prepared_resized/train/train_001076.png,Valid but hard,,يرته,2025-11-26T20:06:15
1.0,?,train_001685,../data/muharaf_prepared_resized/train/train_001685.png,Valid but hard,,2,2025-11-26T20:06:29
1.0,تحريرات عدد ١٧,train_013663,../data/muharaf_prepared_resized/train/train_013663.png,Segmentation error,,ن,2025-11-26T20:06:39
1.0,عضو انطون خوري حرب,train_016468,../data/muharaf_prepared_resized/train/train_016468.png,Irrelevant / signature,,,2025-11-26T20:06:45
1.0,المخلصه مىّ,train_002104,../data/muharaf_prepared_resized/train/train_002104.png,Irrelevant / signature,,عا,2025-11-26T20:06:47
0.975609756097561,بصمة ابهام يد اليمين نزهه ابنة طنوس ساسين,train_010109,../data/muharaf_prepared_resized/train/train_010109.png,Irrelevant / signature,,ا,2025-11-26T20:06:50
0.972972972972973,٢٠ رمضان سنة ١٣٥٢		 أمين محمد الحسيني,train_002845,../data/muharaf_prepared_resized/train/train_002845.png,Segmentation error,,٩٢,2025-11-26T20:07:02
0.9714285714285714,المملكة الحجازية والنجدية وملحقاتها,train_002664,../data/muharaf_prepared_resized/train/train_002664.png,Valid but hard,,ا,2025-11-26T20:07:07
0.9714285714285714,الياس الحويك بطرس البطريرك الانطاكى,train_016740,../data/muharaf_prepared_resized/train/train_016740.png,Irrelevant / signature,,ا,2025-11-26T20:07:11
0.9696969696969696,الماضي عنه باذنه بطرسَ منصور فخري,train_016701,../data/muharaf_prepared_resized/train/train_016701.png,Irrelevant / signature,,ا,2025-11-26T20:07:12
0.967741935483871,ولد سَيادتكم طنوس سمعان القبيات,train_008933,../data/muharaf_prepared_resized/train/train_008933.png,Irrelevant / signature,,ي,2025-11-26T20:07:17
0.967741935483871,ولد سيادتكم يوسف سعد شاهين ضاهر,train_010060,../data/muharaf_prepared_resized/train/train_010060.png,Irrelevant / signature,,ي,2025-11-26T20:07:18
0.967741935483871,كاتب امين متى شيخ قرية دريا ٣١٦,train_016429,../data/muharaf_prepared_resized/train/train_016429.png,Irrelevant / signature,,ي,2025-11-26T20:07:21
0.967741935483871,المستدعي المحامى الياس عبد الله,train_000251,../data/muharaf_prepared_resized/train/train_000251.png,Irrelevant / signature,,ا,2025-11-26T20:07:25
0.9666666666666668,ولد سيادتكم امطانوس محاىل صاهر,train_010063,../data/muharaf_prepared_resized/train/train_010063.png,Irrelevant / signature,,ا,2025-11-26T20:07:27
0.9655172413793104,حنا الخوري سليمان الفرخ صورات,train_015853,../data/muharaf_prepared_resized/train/train_015853.png,Irrelevant / signature,,ي,2025-11-26T20:08:10
0.9642857142857144,مختار الضهر بدوي اسَعد بطرسَ,train_010077,../data/muharaf_prepared_resized/train/train_010077.png,Irrelevant / signature,,ي,2025-11-26T20:08:12
0.9629629629629628,ولد سيادتكم ىادر ساهىن ىادر,train_010059,../data/muharaf_prepared_resized/train/train_010059.png,Irrelevant / signature,,ال,2025-11-26T20:08:13
0.9615384615384616,عن رئيس البلدية شكري كنعان,train_013957,../data/muharaf_prepared_resized/train/train_013957.png,Irrelevant / signature,,ي,2025-11-26T20:08:15
0.9615384615384616,عضو طنوس خليل الصايغ رشكده,train_015862,../data/muharaf_prepared_resized/train/train_015862.png,Irrelevant / signature,,ع,2025-11-26T20:08:16
0.96,ولد سيادتكم ابراهيم قسطون,train_010061,../data/muharaf_prepared_resized/train/train_010061.png,Irrelevant / signature,,ي,2025-11-26T20:08:18
0.96,المخلص احمد شاكر الكريحات,train_002211,../data/muharaf_prepared_resized/train/train_002211.png,Irrelevant / signature,,ا,2025-11-26T20:08:20
0.9591836734693876,وكيل الوقف وخوري الرعية الحورى ىوحىا حىىب البيسري,train_009439,../data/muharaf_prepared_resized/train/train_009439.png,Irrelevant / signature,,س ي,2025-11-26T20:08:24
0.9583333333333334,كاتب الاسرار فيكتور شميل,train_002196,../data/muharaf_prepared_resized/train/train_002196.png,Irrelevant / signature,,ا,2025-11-26T20:08:27
0.9583333333333334,ولد سَيادتكم الخورى ىوسف,train_009352,../data/muharaf_prepared_resized/train/train_009352.png,Irrelevant / signature,,ي,2025-11-26T20:08:28
0.9583333333333334,محبّك محمد الحسين النجفي,train_002077,../data/muharaf_prepared_resized/train/train_002077.png,Irrelevant / signature,,ا,2025-11-26T20:08:29
0.9523809523809524,عضو سليم سعدالله سلوم,train_016532,../data/muharaf_prepared_resized/train/train_016532.png,Irrelevant / signature,,ع,2025-11-26T20:08:36
0.9473684210526316,عن عضو ملحم  سعيفان,train_015335,../data/muharaf_prepared_resized/train/train_015335.png,Irrelevant / signature,,ع,2025-11-26T20:08:37
0.9473684210526316,مبلغ مية ليرة .....,train_014914,../data/muharaf_prepared_resized/train/train_014914.png,Valid but hard,,.ان,2025-11-26T20:08:44
0.9473684210526316,عضو حبيب نبهان ١٨٨٠,train_016144,../data/muharaf_prepared_resized/train/train_016144.png,Irrelevant / non-text,,ع,2025-11-26T20:08:47
0.9444444444444444,عن عضو ملحم سعيفان,train_015370,../data/muharaf_prepared_resized/train/train_015370.png,Irrelevant / signature,,ع,2025-11-26T20:08:50
0.9411764705882352,رىس سليم باز ١٨٨٣,train_016145,../data/muharaf_prepared_resized/train/train_016145.png,Irrelevant / non-text,,ي,2025-11-26T20:08:55
0.9411764705882352,عدد ٥٧٩٨	٢٤/١٢/٥٢,train_016476,../data/muharaf_prepared_resized/train/train_016476.png,Segmentation error,,ع,2025-11-26T20:09:00
0.9393939393939394,سهود محول عصى     موسَى البر عبدو,train_009521,../data/muharaf_prepared_resized/train/train_009521.png,Segmentation error,,حو,2025-11-26T20:09:08
0.9375,١٨٧ وذلك ٥٣/٩/١٨,train_016597,../data/muharaf_prepared_resized/train/train_016597.png,Segmentation error,,١,2025-11-26T20:10:37
0.9375,ولد سيادتكم محاىل الحورى الدرىىى,train_009636,../data/muharaf_prepared_resized/train/train_009636.png,Irrelevant / signature,,لد,2025-11-26T20:10:43
0.9375,E.F.B. Peixe-Boi,train_017980,../data/muharaf_prepared_resized/train/train_017980.png,Script mismatch (non-Arabic),,-,2025-11-26T20:10:47
0.9375,516 Oriental Ave,train_001637,../data/muharaf_prepared_resized/train/train_001637.png,Script mismatch (non-Arabic),,5,2025-11-26T20:10:51
0.9333333333333332,تبلغت الياس جبر,train_015738,../data/muharaf_prepared_resized/train/train_015738.png,Irrelevant / signature,,ا,2025-11-26T20:11:02
0.9333333333333332,شاهد ميشال شماس,train_016392,../data/muharaf_prepared_resized/train/train_016392.png,Irrelevant / signature,,ا,2025-11-26T20:11:05
0.9333333333333332,مستمد دعاكم الخوري الياس ساسين,train_017994,../data/muharaf_prepared_resized/train/train_017994.png,Irrelevant / signature,,ال,2025-11-26T20:11:07
0.9305555555555556,داوود موسى دومط دوميط موسى دوميط واسعد وتوفيق وديبه هيلانه دوميط يوسف عن,train_015985,../data/muharaf_prepared_resized/train/train_015985.png,Irrelevant / signature,,ال ي ا,2025-11-26T20:11:16
0.926829268292683,كنيسة مار جرجس القبيات - غوايا لجنة الوقف,train_009850,../data/muharaf_prepared_resized/train/train_009850.png,Irrelevant / non-text,,ل ي,2025-11-26T20:11:21
0.9230769230769232,PHILADELPHIA.,train_001474,../data/muharaf_prepared_resized/train/train_001474.png,Script mismatch (non-Arabic),,BUSE,2025-11-26T20:11:26
0.9230769230769232,عضو حنون راشد,train_016474,../data/muharaf_prepared_resized/train/train_016474.png,Irrelevant / signature,,ع,2025-11-26T20:13:23
0.92,Il faut) une execution) -,train_004675,../data/muharaf_prepared_resized/train/train_004675.png,Script mismatch (non-Arabic),,Ho o,2025-11-26T20:13:32
0.918918918918919,واصل لكم ضمن كتابي هذا صورة ولدي جوزف,train_017977,../data/muharaf_prepared_resized/train/train_017977.png,Segmentation error,,ا ا,2025-11-26T20:13:44
0.9183673469387756,المقره بما فيه نجيبه زوجة فرحات مسَعود كسبار طرزا,train_015918,../data/muharaf_prepared_resized/train/train_015918.png,Irrelevant / signature,,ال ي,2025-11-26T20:13:50
0.9166666666666666,الجمهوريّة اللبْنانيَة - وزارة الدَاخليّة محَافظة جبَل لبنان,train_012865,../data/muharaf_prepared_resized/train/train_012865.png,Irrelevant / non-text,,ي ا ا,2025-11-26T20:13:52
0.9166666666666666,رئيس لجنة مشاع سلعاتا اسطفان سلوم مامور فريد كرم,train_016502,../data/muharaf_prepared_resized/train/train_016502.png,Irrelevant / non-text,,ل  ا,2025-11-26T20:13:54
0.9166666666666666,عبدالله ضاهر,train_008852,../data/muharaf_prepared_resized/train/train_008852.png,Irrelevant / signature,,ع,2025-11-26T20:13:57
0.9130434782608696,ىوسف طانيوس من الهلاليه,train_014205,../data/muharaf_prepared_resized/train/train_014205.png,Irrelevant / signature,,الو,2025-11-26T20:14:14
0.912280701754386,المقر بما فيه اصالة وولاية سابا جبرائيل نقولا كفور العربي,train_016718,../data/muharaf_prepared_resized/train/train_016718.png,Irrelevant / signature,,ال  ا,2025-11-26T20:14:36
0.9090909090909092,other story,train_010724,../data/muharaf_prepared_resized/train/train_010724.png,Script mismatch (non-Arabic),,Wo u,2025-11-26T20:14:48
0.9090909090909092,قضاء كسروان,train_000227,../data/muharaf_prepared_resized/train/train_000227.png,Irrelevant / non-text,,ووره,2025-11-26T20:14:55
0.9090909090909092,رىس ىلدية كفرشىما ىعوم دىب العارح,train_013635,../data/muharaf_prepared_resized/train/train_013635.png,Irrelevant / signature,,ي ر,2025-11-26T20:15:00
0.9090909090909092,الخوري الاسقفي  ارسانيوس الفاخوري,train_009227,../data/muharaf_prepared_resized/train/train_009227.png,Irrelevant / signature,,اخدي,2025-11-26T20:15:03
0.9090909090909092,Chey Housif,train_018375,../data/muharaf_prepared_resized/train/train_018375.png,Script mismatch (non-Arabic),,o,2025-11-26T20:15:13
0.9090909090909092,1943/ عدد 1,train_014182,../data/muharaf_prepared_resized/train/train_014182.png,Segmentation error,,١٣ ٣,2025-11-26T20:15:18
0.9090909090909092,514 West St,train_010671,../data/muharaf_prepared_resized/train/train_010671.png,Script mismatch (non-Arabic),,1,2025-11-26T20:15:24
0.90625,رىس بلدية كفرشيما ابراهىم الخىاط,train_013474,../data/muharaf_prepared_resized/train/train_013474.png,Irrelevant / signature,,ل ي,2025-11-26T20:16:18
0.9047619047619048,شاهد اسعد طنوس الشماس,train_016393,../data/muharaf_prepared_resized/train/train_016393.png,Irrelevant / signature,,ال ي,2025-11-26T20:16:20
0.9047619047619048,its a summer material,train_010696,../data/muharaf_prepared_resized/train/train_010696.png,Script mismatch (non-Arabic),,ma,2025-11-26T20:16:24
0.9032258064516128,الحورى انطون نعمان رئيس الديوان,train_009190,../data/muharaf_prepared_resized/train/train_009190.png,Irrelevant / signature,,س ري,2025-11-26T20:16:31
0.9019607843137256,المقر به وكاتب الوكيل الشرعي حنا سَابا جبرايل نقولا,train_016717,../data/muharaf_prepared_resized/train/train_016717.png,Irrelevant / signature,,الس ي,2025-11-26T20:16:36
0.9017857142857144,باعث لتحرير ورقة اجيرنا ....حاضر ومحترف لرويد عبد الرحيم ولد مرحوم مشهد حسن .... دولت علية عالية ايران مقيم ....,train_014924,../data/muharaf_prepared_resized/train/train_014924.png,Valid but hard,,ا الر م م ا,2025-11-26T20:16:55
0.9,نادر مخول نادر مخاىل,train_010075,../data/muharaf_prepared_resized/train/train_010075.png,Irrelevant / signature,,ال,2025-11-26T20:17:01
0.9,you called,train_010685,../data/muharaf_prepared_resized/train/train_010685.png,Script mismatch (non-Arabic),,o,2025-11-26T20:17:08
0.8978102189781022,اعضاء انطوان طربيه            شليطا الزين          حنا شاول منصور ضو                   حداد                                رئيس انطون حرب,train_016596,../data/muharaf_prepared_resized/train/train_016596.png,Irrelevant / signature,,الو          ن,2025-11-26T20:17:14
0.8947368421052632,عصو ىعوم دىب العارح,train_013495,../data/muharaf_prepared_resized/train/train_013495.png,Irrelevant / signature,,عضو,2025-11-26T20:17:16
0.8947368421052632,Naja Frères Conakry,train_018250,../data/muharaf_prepared_resized/train/train_018250.png,Segmentation error,,,2025-11-26T20:17:23
0.8947368421052632,الوطنية، السيادة القومية، الاستقلال ..,train_019502,../data/muharaf_prepared_resized/train/train_019502.png,Wrong transcription,,ل ا.,2025-11-26T20:17:34
0.8947368421052632,اللسان في شواذاتها،,train_000650,../data/muharaf_prepared_resized/train/train_000650.png,Orientation error,,ي ن,2025-11-26T20:17:39
0.8947368421052632,بالمنصورة MANSOURAH,train_005779,../data/muharaf_prepared_resized/train/train_005779.png,Script mismatch (non-Arabic),,رن B,2025-11-26T20:17:53
0.8947368421052632,عصو نعوم دىب القارح,train_013488,../data/muharaf_prepared_resized/train/train_013488.png,Irrelevant / signature,,عضو,2025-11-26T20:17:57
0.8947368421052632,عصو حلىل نعوم الرحى,train_013494,../data/muharaf_prepared_resized/train/train_013494.png,Irrelevant / signature,,عضو,2025-11-26T20:17:58
0.8928571428571429,الحورى الاسقفى محاىل الدرىىى,train_009238,../data/muharaf_prepared_resized/train/train_009238.png,Irrelevant / signature,,ريرولس,2025-11-26T20:18:14
0.8928571428571429,رئيس بلدية القبيات سلىم ضاهر,train_010076,../data/muharaf_prepared_resized/train/train_010076.png,Irrelevant / signature,,الني,2025-11-26T20:18:16
0.8888888888888888,ولد سيادتكم دكتور حبيب ضاهر,train_010064,../data/muharaf_prepared_resized/train/train_010064.png,Irrelevant / signature,,خوري,2025-11-26T20:18:16
0.8888888888888888,سمسوم الكفرون حلل لهما من رابع وسادس,train_008740,../data/muharaf_prepared_resized/train/train_008740.png,Irrelevant / signature,,س  ا,2025-11-26T20:18:18
0.8888888888888888,عمي العزي,train_000125,../data/muharaf_prepared_resized/train/train_000125.png,Valid but hard,,احف,2025-11-26T20:18:25
0.8888888888888888,OFFICE OF,train_002311,../data/muharaf_prepared_resized/train/train_002311.png,Script mismatch (non-Arabic),,O,2025-11-26T20:18:28
0.8823529411764706,لبيب الخوري 	فارس,train_015954,../data/muharaf_prepared_resized/train/train_015954.png,Irrelevant / signature,,كمار,2025-11-26T20:18:31
0.8823529411764706,الخوري يوحنا حبيب,train_010037,../data/muharaf_prepared_resized/train/train_010037.png,Irrelevant / signature,,والا,2025-11-26T20:18:36
0.8823529411764706,Guinee Frangruire,train_018373,../data/muharaf_prepared_resized/train/train_018373.png,Script mismatch (non-Arabic),,Mo Contlh,2025-11-26T20:18:42
