GroundTruth,Prediction
ويفرحكم بالولاد,وير حكم بالولاء
من خيرا تويكفيكم,من خيكراتو يكفيكم
رب السما يخليكم,رب السما يخليكم
شعر :,شعر:
وملايكتو تحميكم,لا يكسو تحميكم
ويرجعكم للبلاد,دير جعكم للبلد
عبرين في البترون ونحن ساكنين في ملك يوسف,عبرين في البترون ونحن ساكنين في ملك يوسف
ارملة بولص الاسيس.,ارملة بولص ال١اشيس.
وتوفى ايضاً عجيز يوسف الخوري,وشعرف ايضا عجيز يوسف الخوري
رحمهما الله,(صمها الله.
ابن اخيك مارون,ابن اخبك مارون
الشدياء ليس في كور المكتوب الو ارسلته الى كور,الشلدياء ليس في كور المكتوا بن ارسلنه الى كور
ذهب ورجع الى البترون. وانا اذهب الى بيت,ذهب ورجع الى البتروت. وانا اذه الا بيت
البناني هو محل المستشفى واختي فوز,البناني الذي هومحد المستشفى واختي فوز
تذهب ايضاً الى المدرسة الى الراهبات ايضاً,تزهب ايفاً الى المررسة الي الراهيات ابضا
في السيارة للراهبات لا تبعت لنا,في السيارة للراهبابت ل١ تبع لنا
نقود بدو تسوكر واهذه,تعو بده تسوك وا هذه
الجملة الخاصة وواققول لك عيد مبارك:,الجملة الخاصة واققهن لك عيد مارك:
وا خبرك ايضاً ان توفت مريم,وا خبرك ايضا ان يتوحت مريم
في استلمت عيدتيك اللطيفة وهي خمسة عشر دولاراً . اشكرك يا حبيب,اف استلمت عيدكيك الطيفة وهي خمسة عشر دولاراً. اشكرك يا حيب
العيد ويذكرنكم في صلواتهن.,العيد ويذكرتكم في ملواتهن.
من جهة البيت من اسبوع استلمت رسالة من الوالد. صحته متحسنة,من جهة الببت من اسبوع استلمت رسالة من الوالد. صحته متحننة
بنام عنده ابن العم بنيامين الدوس وتخيه كنته ماري. لكنه مستفقد,بنام عنده ابن الوم بتبامن الدوس وتخيهه كنته ماري. للنه متفقد
لبعد اولاده عنه. الشيئ الذي ألمني كثيرا لذا كتبت للصهر,كتبر لبعد اولاده عنه. الشيء الذي ألمين كثيراً لذا كتبت للصهر
العزيز الخوري مطانيوس يزبك وكلفته حتى يدبر اخي بطرس حتى نؤمن,العزيز الخوري مطانيواس لزبك وكلفة مت يدبر اخي بطرس حت نو من
راحة الوالد والمحافظه على كيان البيت وترجيته ان يهتم بهذا,رامة الوالد والمحافظه على كيان البيت وترجيته ان يهتم بهذا
الموضوع ويخبرني باقرب وقت عما يجد بهذا الشأن. وانا,الموضوع ويجبر ي باقرب وقت عما يجد بهذا الشأن. وانا
اصلي بانتظار الجواب . وفقه الله والهم بطرس ان ينقاد,اصلي بانعظاء الجواب. وفعه الله والهم بطرس ان بنقاء
لنصائحه... اما بخصوص الشيئ الذي لم يقدر ان يذكره لك الوالد,لنصائحه ... اما لخصوص الشيء الذي ل٨ يقدر ان بذكره لك الوالد
في المكتوب وقد قلق بالك من جهته فهو على ما اظن : ان الوالد اخبرني,في المكتوب وقد قلق بالك من جهته فهو على ما اظن: ان الوالد اخبرني
اختك واطلب منه تعالى توفيقكم ورجوعكم الينا سالمين وهذه تكون اجمل عيدية,خمنك واطلب منه قالى توفيقكم ورجوعكم النا سالمين وهذه تكون اجمل عيدية
يمكنك ان تقدمها لشقيقتك التي لا تلز لها الاعياد وانت بعيد عنها...,يمكنك ان تقدمها لشقيقتك التي لاتلز لها الاعياد وانت بعيد عنها...
الل قرب الله ايام اللقاء. ولا حرمنا من رؤيتكم في ارض الوطن المحبوب...,الا قرب اله ايام القاء. ولا مرهنا من رؤيتكم في ارضف الوطن المحجبوب...
اخي من جهتي الحمد لله صحتي جيدة بعون الله ومسرورة جداً مع حصن رئيستي,افي من جهتي المد لله صحتي صيدة بعون الله ومرورة جراً مع ملن رئيستي
الفاضله الام ماري جوزيف غريب التي تشكر عاطفتك النبيله وتبادلك اضعافها,الفاضله الامدمادي جوزيف قريب التي تشكر عاطفتك النبيله وتبادلك اضعافها
سائلة طفل المزود توفيقكم وهي دائماً تذكرك في صلواتها وتقول لي :,سائلة طفل المزود توفيقكم وهي دائماً تذكرك في حلواتها وتقول لي :
بهنيك بهالاخ (شو هوي ولد صالح) ... ودائماً توبخني عندما اتأخر عليك,بهنيك بها لاخى (شوهوي ولد صالح)... دائماً توبخن عندما اتأخه عليك
بالمكانية. وهكذا جميع الاخوات العزيزات يبادلنك تمنيات,بالمكانة. وهكذا جميع الاخوات العزيزات مباد لنك تمنات
معزول. هي ذكية وطلعة عا بيها ومنش متعدايه عالكار.,معزول. هي ذكية وطالعة عا بيها ومنش متعدايه عالكا.
قلبي واطبع على جبينه شتى القبلات الحارة مبقية القسم الاوفر,قلبي واطبع على حبينه شتى القبلات الحادة مبقية القم الاوفر
لوالديكم الحنونين روز ويوسف ولجدتكم المحبوبة مورة التي لها,لوالديكم الحنونين روز ويوسف ولجدتكم المحبوية مورة التي لها
المقام الكبير في قلبي نظراً لما تبذله من الغالي والنفيس في مساعدة,المقام الكبير من قلبي نظراً ما تبذله من الغالي والتفيس في مساعدة
اخي الحبيب على القيام باعباء عائلته المحبوبة ... وفقها الله وكافاها,اخي الحببب على القبام باعباء عائلته الحبوبة... وفقها الله وكافاها
عنا خيراً ووفق جميع ابنائها وبناتها وعائلاتهم الحبوبة الذين,منا خيراً ووفق جميع ابنائها وبناتها وعائلاتهم الحبوبة الذين
اهديهم اذكى تمنيات العيد طالبة لهم من طفل المزود التوفيق,اهديهم اذكن منبات العيد طالية لهم من طفل المزود التوفيق
والبركات الوافرة. وهكذا لعائلة الجبيلي المحبوبة ...,والبركات الوافة. وهكذ العائلة الجببلي المحبوية...
ولبنات خالتنا المرحومة روند مع طلب التطمين اليهم والى جميع ابناء,ولبنات فالتنا المرحومة روند مع طلب التطين اليهم والى جميع الناء
البلاد عندك . والى عائلة روزه وخصوصاً العزيزين ألين والبير.,البلاد عندكم. والى عائلة روزه وخصوصاً الى العزيزين الين والبيد.
واما بخصوص عائلة ابن العم المرحوم يوسف كتبت لهم مكتوب على العيد وطلبت ان يطمنوني,واما نخصوص عائله ابن العم المرحوم يوسف كتبت لهم مكتوب على العيود طلبت ان يطنوني
انا بذكر عندما كانوا يشارطون أخي يوسف حتى يسكت ربع ساعة وياخد,انا بذكر عندما كانوا بشارطون اخي يوسف حتى بسكت ربع ساعة وياقد
اليهم . ويخبروني عن احوالهم واخبرتهم بانك ستذهب لعندهم بعد رأس السنة.,اليهم. وبخردني عن احوالهم واخبرتهم بانك ستنصب لعندهم بعد رأس السنة.
ربع ليرة وما كان يربح ولا مرة ... عافاك يا مي مي طالعة مثل,ربع ليرة وما كانا يريح ولا مرة... عافاك يا مي مي طالع مثل
بييك . والعزيزه ميتثا. لماذا سميتوها فاجرة ؟ هيدي,بعيك. والعزيزه ميتثا. لماذا سميتوها فاجرة :؟ هيدي
اكيد طالعة متل عمتها قوية مش فاجرة. والله يعطيها حتى تصير,اكيد طالعة متل عمتها قويه مش فاجرة. والله يعطيها حتى تصير
متل عمتها بكل شيء. والصغيرة لارا البلبل الشجي الالحان,متل عمتها بكل شي. والصغيرة رارا البلبل الشجي الالحان
انشاء الله بتكون موسيقى وسلوى العائلة كما ومسك الختام,انشاء الله يتكون موسيق وسلوى العائلة كما ومسك الختام
لجنس البنات عند والديها... أه! يا اعزائي كم يلز لعمتكم التحدث,لجنس البنان عند والديها... آه! يا اعزاءي كم يلز يعمتكم التحرث
معكم وقتاَ اطول ... واذ اتصور ذاتي بينكم اضمم كلاً منكم الى,معكم وقا اطول... واذ اتصور ذاتيب بينكم اضم كلاً منكم الى
اسمأ في الصيف انه لاقط خفة من حنه فاخبر جورج ولربما,سرأ فيما الصيف انه لاماشوية ففا من منه فاخبر جورح ولربما
سوى زواج العزيز بطرس وفقه الله وهداه الى الخير...,سوى زداع العزيز بطرس دفقه الله وصواه الى الخير...
هذا كل ما عندي اخبرني انت ما يجد عندك وطمني الى صحة العزيزة روز.,هذا كل ما عندي اخبرني انت ما يجد عندك وطن الى صحة العزيزة روز.
اخيراً بمناسبة حلول عيد الميلاد المجيد ورأس السنة الجديدة,اخبراً مناسبة حلول عيد الميلاد الحبد ورأس السنة الجديدة
اعيدكم هاتنه تحدكم : عيد مبارك ! سنة سعيدة !,اعيدكم هانته لحوكم: عد ميارك ! سنة سعيدة !
اعادها عليكم طفل المزود بالخير والبركات ووفق,عادها عليكم حفل الذود بالخير والبركات ووفق
جميع مساعيكم واعادكم الينا سالمين معافين...,جيع مساعيكم واعادكم الينا سالمن معافين..
انه اسميع المجيب .,انه اميط حبب.
تقبلكم قبلة العيد الحارة شقيقتكم المشتاقة اليكم,لقبلكم قبلة العيد الحارة شقيقتكم المشتاقه اليكم
الاخت فيكتور ن خوري,الاصرفيكتور خوري
اخبرها جورج بدوره .(الدمة ضعيفه) لربما يكون صحيح لان حنه هي,اخبرها جورج بدوره (الدمة ضفيفه) لرما يكون صحيح لان منه حي
بنت روزه والمثل يقول (طب الجرة على تما بتطلع النبت مثل اما).,بنتة روزه والمثل يقول لطب الجرة على تما يتطلع البنت مثل اما).
ولربما بكون وهم. وعلى كلٍ فالعزيزة حنه حنقت على الوالد ولم,ولربما يكون وهم. وعلى كلٍ فالعزيزة منه حنقت على الوالد ولم
تعد تحاكيه ولا تريد ان تسكن معه في البيت. ولربما هذا كان,تعد تماكيه ولا زريد ان تسكن معه في الببن. ولر يما هذا كان
سبب نزولهم الى البترون . اياك يا عزيزي ان تذكر شيئاً,سبب نزولهم الى البترون. اياك يا عزيزي ان تذكرشيئاً
من هذا عندما تكتب للوالد لئلا يطلع احد على هذا الخبر...,من هذا عندما تككتب للوالد لئلا بطلع احد على هذا الخبر...
اما بخصوص نزول الوالد الى البترون فاظن انه غير موافق . لان حنه,اما بخصوص تزول الوالد الى البترون فاظن انه غير موافق. لان منه
هربت منه ويوسفية لا يطيقها من الاصل. فلا يوجد حل لهذه المسئلة,عربت منه ويوسفية لا يطيقها من الاصل. فلا يعصد حل لهذه المئلة
عمي العزي,عمي الع
الارض الذي وضه الله فيها الخير. ان جدي,لارض الترتي وضع الله غييا الخير. ان جدي
لا يطلب الى مشاهدتك والسنة هذه ان شاء الله,ابطلب ال عشاهدتك في السنة هيرة ان شاء الاله
وهو باقي على حاله واطلب منك انا هذه الطلب,وهوباتي على صاله واحلب منك انا هذه الطلبب
الذي اريد ان اسمع اسواطكم مسجلة وهذه هي,الذي اريد ان اسمع اسواطكم مسجلة وهزن هي
عيديتي عمي لا اريد الى هذه الطلب ان شاء,عيديتي عمي لا اريد الى هذه الطلب ان سَاد
الله سيوصل لي في عيد الميلاد الذي سجل,السله شيوحل ي في عيد السيلاد الذري سجل
يوم ميلاده يعبرون فيه كل سنة ان اخوتي,م حيلاده يعلدون فيه سمل سنة ان اخوتي
يريدون ان يتعرفوا عليك وعلى العائلة الكريمة,يريدون ان يتعرفوا عليك وعال العائلة الاكربية
اجمع ودمت ابن اخيك,(جمع زمت ابن اقيك
عنواني,عنسواني
اني ارسل لك هذه الرسالة لنجدك في تمام,في ارسل لل هذه الرسال٢ لنجدك في تمساع
ملك: ميشل الجمال البترون حي الدوره,علك: ميشل الجمال البترون صي الدوة
الصحة والعافية مع العائلة الكريمة وبواسطة,الصحة والعافية مع العائلة الكريمة وبواسطة
عيد الميلاد الذي خلق في المسيح تولدة,سيد الليلاد الذي خلف فيه السيد المسييع تولدت
هذه الرسالة من ابن اخيك مارون اننا في الصحة,هذه الرسالة من ابن اخبيل ماروت انننا في الصحة
التامة والدي ووالدتي في الصحة التامة ايضاً وان,النامة والمدي ووالدتي في الصحة التاعة ايضاً وانا
اطلب من الباري الباري تعالى ان يوفق المعتزين,اطلب من الباري الباري تعالى ان يوغف المعترين
وانت بالاخص ويرجعوا الى اهلهم الى وطنهم,وانت بالاخص ويرجعوا الى احلتهم الى وطنهم
العزي الذي عاشوا عليه وربوا ع نشوءفي,العذي الذي عاتوا عليه وربواع نشفي
عن كور في ٢٩ شباط سنة ٩٦٠,عن كور في ٢٩ شبطسنة٩٣٠
ابن عمي العزيز:,ابن عم الفريز:
اني قضيت سبة المرفع في القرية بين الاهل بفرح وسرور,اتي قضيت سَبة المرفع في القرية بي الاهل بفرح وسَرور
وانا عائد الى المدرسَة يوم اثنين الرماد قد وضعت هذه الرسالة في,وانا عامد الى المدرسَة يوم اثنين الرماد قد وضعت هذه الرسَالة ف؟
البريد لا شيء جديد لاخبركم اياه ان ابيك في صحة وعافية الحمد لله,الير يد لاشي جديد لا خبركم اياه ان ابيك ؟ حمة وعافية الحبدبله
فان في وجهه لون كلون الشباب فيَستحلي الانسان يجلسَ امامه,فان في وجهه لون كلون الشباب فيسَتملي الانسان بجلسَ امامه
وينظر الى وجهه ويَسمع احاديثه ويهديكم سَلامه وان جورج,ينظر الى وجهه ويسَمع احاديه وبهديكم سَلامه وان جورلج
وعائلته والعريس بطرس مع عروسته يهدوكم السلام وهم الان,وعائلتو والعرييش بطرس مع عروستة يهددكم السَلام وهم الان
في عمشيت وطانيوس معهم وبيت جان بخير مع عائلتهم جميعاً,في عمشت وطانبوس معهم وبينا جام بخبر مع عائلتهم اجميعاً
وخيك وعقوب وبيت عمتي منه وجميع الاهل يهدوكم السلام,ليك ويععوب دببت كحتي منه وجمبع الاهل يهدوكم السَلام
ابن العم العزيز يوسف وامراته حفظكما الله.,ابن العم العز يوسَفا ارانه حفظكماله.
بكل دقيقة تمر من الزمان ارى من واجابي لا بل عاطفتي ترفض,بكل دفيفة نمر من الزمان ارى من واجالي لابل عاطفتي ندفص
وتقول لي عليك واجب نحو شخص نحو اخ نحو اب حنون يجب ان,وتقول لب عديك واجب نحو شخص نحواخ نحواب حنون يجب ان
تكتب له. فهذا هي شعوري وعاطفتي واشواقي واحترامي لكم,تكتب لو فهذا ها شعوريا وعا طفني واشواق واحترامي لكم
ولجميع عائلتكم اثديها لكم طالبا من الباري ان تكونوا في الصحة,ولجميع عائلنكم اقدمهالكم طا لبا من الباري ان تكونوا ب الصحة
والعافية مع جميع الاهل والاقارب وتكون اشغالكم موفقة,والمعاقية مع جميع الاهل والاقارب وتكوم اشغالكم موفقة
بعونه تعالى. ومن هنا نحن في صحة تامة مع جميع الاهل وهم يهدونكم,مونو تعالى. ومن هنا نحى : جمة تامة مع جمبيع الاهل وهم يهددنكم
سلاماتهم الحارة ويطلبون لكم التوفيق والنجاح.,سَلاماتهم الحار ويطلبون لكم التوفيق والنجام.
ولم قد عان ملهوفاً واعطى يتيمًا حيث يحلو له العطاء,ولم قد عان ملهوفاً وعطى شيمّا حث يحلوله العطاء
فلا عجب اذا نحنا على من تجمله المرؤة والسَخاء,فلاعجب اذانحنا على من تجمله المرؤوة والشخاء
ووالهفي على تلك المزايا تصاحبها الشهامة والاباء,ووالهفي على ملك المزايا تصاحها الشهامة والاباء
يسَوء الدهر ان نلقى هناء، وهل مرءٌ يتم له الهناءُ,ليسَوء الدهر ان لقى ها، وهل مرٌ بيتم له الهائة
وما نرجوه من زمن قصيرٍ يطول الهمّ فيه والشقاء,وما نرجود من نزمن قصيرٍ يطول الهمّ فيه والشقاء
وانتم يا بني فرحات صبراً على موسَى فسَكناه السَماءُ,وانتم يا بني فرحات حبّرًا   على موسَى فسكناه السَاءُ
الاسيف,الاسيف
الخوري يوسَف نصار . عمشيت,الخوري يوسَف نصار. عمشيت
رثاء الفقيد العزيز الغالي,رثاء الفقيد العزيز الغالي
المرحوم موسَي فرحات جاج تغمده الله برضوانه والهم آله صبرً على فقدانه,المرحوم موسَي فرحات جاج تغمده الله برضوانه والهم اله صبرً على فقدانه
بكت جاجٌ وحق لها البكاءُ على موسَى وناح الاصدقاءُ,بكت جاجّ وحق لها البكاء على موسى وناح الاصدقاءْ
وقالت اين فرحاتي وعزي واين ثوى بصاحبه الوفاءُ,وقالت اين فرحاتي وعزي واين توى بصاحبه الوفاء
عرفناه عليل الجسَم حيناً صحيح العقل زينته الذكاء,غرفناه عليل الجسم حنا صحيح العصل فرينته الذكاء
فلم يشكُ من الايام ضيماً وداء فيه ليسَ له شفاء,فلم يشك من الايام ضيمًا وداء فيه ليس له شفاء
تحمله طويلاً وهو يتلو ليفعل خالقي مهما يشاءُ,تحمله طويلاً وهو يسلو ييفعل خالفي مهما لشاءُ
قضى الايام في شرف وعزٍ واحسَانٍ يصاغ له الثناء,قضى الايام في شرف وعز واحسَانٍ يصاغ له الثناء
توجب دفعه من مال الاميرية والطراقات لجهة الماجور المذكور تحريرا/ ٢٦ نسان /٩١٦,توجب رفه من سالى الاميرية والطرقات لجهنة الماجور المذكور تحريرا/ ٢ سان ١٩
بتاريخه انا الواضع اسمي ادناه فرحات فرح من قرية جاج قد استاجرت من الخوجات جرجي وحبيب بدارو من مدينة بيروت,باريخه انا امواضح المحي ارناه فرضات فرخ من قرية جاج قد سلتا جريت من لحوجات جرجي وحب بدارر من مدية ببريو
العقار الجاري على ملكهما الكائن بخراج قرية جاج المشتملة قطعة اولى كرم في محل الارضي يحدها شرقا طريق غربا يونس,العفار الجاري عى ملكهما الكاثر بخراع فرين جاج المشملة قطعة اولى كرم في مكحل الانيضل بحر كشراق طراين غربا يونس
وقرياقوس فرح والفاصل صليب في صخر اصلي شمالا وقبلة الشيخ موسى بركات واخوانه والفاصل حيطان قطعة,ووريا قدوس فرح والفاصل جيب في خر اصلي تمالا وقلة الشخ موسى بركات واخوانه والفصل حيسنه قطعة
ثانية توت في الحمى يحدها شرقا الخوري موسى فرحات واخيه قورياقوس صعيبى غربا طنوس يعقوب واولاد يازبك,ثكنية نوت في الحمى يحر هاشرق الخوري موسى فرحات واخيه قورياقوس صيب غرنا طوس ييقوب واولاد باز بك
شمالا شبلي بركات قبلة وقف مار شليطه والفاصل حائط قطعة ثالثة في جوار حميا سيلخ يحدها شرقًا ملك برجوت,شمالا شبي بركات قبلة وقف مار شريطه والفاصى حارا قطفة ثالثة في جوار جيا سلخ عد حلراً ملك برجوت
حرمة رفول غصن غربا اولاد يوسف الياس شمالا المصب الماء وقبلة اولاد فرنسيس شَاهين والفاصل تخم,حرمة رفول عضن غربا الاد يوسَف الياس شمالا المصب المار وقلة ولاد فنسيس شالعين والفاصل تخم
وذلك لمدة سنة كاملة من تاريخه ادناه ببدل قدره ثلاثة عشر ليرا عثمانية عين فاني اتعهد بحلول الاجل ان اسلم,وذلك لمدة سنة كاملة من تاريخه اناه بدله قدره بثلاثة عشر لير عمانية عين فاني اتعهد بجلول الاصى ان اسلم
الماجور عما به كما قد استلمته منهما ايجارة صحيحة شرعية صادرة برضائي وقبولي وقد تعهدت ايضاً بدفع كلما,الماجور بمامه كما قد استلمة منهما ايجارة صحية شرعية حاورة برضائي وقو لي وقد تفهدة ايضا بدفح مكما
بتاريخه قد جرت المقايضه الشرعية فيما بين الدكتور يوسف فرحات فريق اول والخواجه موسى فرحات فرح فريق ثاني,بتاريخه قد حرت المقايضه الشرعية فمابين المكتور يوسف فرحات فريق اول والخواجه موسى فرحات قرح فريقناني
الى ملك الاخر يتصرف بها كيفما شاء نظير باقي املاكه الشرعية وبيد كلٍ منهما نسَخة عن هذا الصك,الى ملك الاخر يتصر ف يها كيفا شاء تظير باقي املاك الشرعية وبيد كل منهما نسمة عن هذ الصك
ليصير العمل بموجبه عند الاقتضاء وللبيان حرر فى ٢٥ آب ٩٢٤           الدكتور,ليصير العمل بموجبه عند الاقتضاء وليبان حرر فى ٢٥ آب نة ٩٢  الدكتورم
شهود الحال,سودا.
على قطعتي الارض الملاصقتي بينهما قطعة اولى خاصة الفريق الاول المتصلة اليه بوجه الشراء الشرعي من الخواجه شبلي بركات,على قطعني الارض الملافي بنهما قطعة اولى خاة الفرف الاول المتصلة اليه يوجه الشزاء المشرعي من الخواجه سَبلي بركانه
المحدودة شرقاً ملك اسعد يوسف بطرسَ شمالاً ملك فرحات البدوي بركات غرباً ملك شبلي بركات والفاصل,المحدودة شرقاً ملك اسعد يوسف بطرسَ سَلاً ملك فرحان البدوي بركات غربا ملك شبلي بركات والفصل
طريق الرجل المؤداة الى بيت الخوري موسى فرحات قبلةً ملك موسى فرحات الفريق الثاني. القطعة الثانية,طريق الرجل المؤداة الى بين الخوري موسى فرحات قبلةً ملك موسى فرحات الفيق الثاني. القطعة الثانية
ملك الفريق الثاني يحدها شرقاً ملك موسى فرحات الفريق الثاني على مقابل زاوية بيت الشيخ موسى بركات,ملك الفريق الثاني يحدها تشرقاً ملك موسى فرحات الفريقي الثاني على مقابل زاوية بيت الشخ موسى بركات
الشرقية شملاً ملك الدكتور الفريق الاول غرباً ملك الفريق الثاني على بعد ثلاثة امتار للغرب من زاوية,الشرقية شملاً ملك الدكور القريق الاول غرباً ملك الفريق الثاني على بعد ثلاثة امتار للغرب من زاو
بيت الشيخ موسَى بركات الغربية ممتدًا للشمال خظًا مستقيماً للحائط الذي هو ملك الفريق الاول قبلة,بيبت اليخ موسَ ركان القربية ممنداً للشهل خظا مستقيماً لحائط الذي هو ملك الفريف الاول قبلة
بيت الشيخ موسى المذكور وتتمتهُ للغرب ملكه ايضاً على ثلاثة امتار مقايضة صحيحة شرعية تامة,بيت اليخ موس المذكور وستمته لغوب معلكه ايضاً على ثلاثة امتار مقايضة صححة سرعية نامن
بالرضا والقبول والايجاب والتسلم والتسليم من الطرفين وقد خرجت كل قطعة من ملك مالكها الاصلي,بالرضا والقيول والايجاب والتسلم والتسليم من الطرفين وقد خرحت كل قطعة من ملك مالكا الاجلي
للشاري يتصرف بهِ كيفما شاء واراد بثمن قدره خمسَة الاف ليره,للشاري يتصرف بهِ كيعما شاء واراد بتحن قدره خمسَة الاف ليره
لبنانيه عن كامل هذه القطعه قبضتها دفعه واحده من الشاري ولم يعد لي,لبنانه عن كامل هذه القطعه قبضتها دفعة واحده من التاري ولمه يعد لي
بذمته بارة الفرد مع كافة طرقه وطرايقه وأبرت ذمته من كل غبن وغرور,بتمته بارة الفرد مع كافة طرقه وصرايقه وابرت ذمته من كل غين وغشرور
من هذا المبيع ابرأً عاماً وللبيان حرر,من هذا المبيع ابراً عاماً وللبيان حرر
شهود الحال,شلسود الحاس
١٩٦١ فى ٢٨ تشرين اول ١٩٦١,٩ تشش  ول ١٩٥
الداعي لتحريره,الداعي لتحريره
هوا انه يوم تاريخه انا الموضوع اسمي بذيله نصار طانيوسَ السمراني من قرية جاج قد,هوا انه يوم تناريخه انا الموضوع اسمي بنيله نصار طانبوس الشحراني من قرية جاج قد
بعت من رافع هذا الصك الخواجا امين بن فرحات فرح من قريتنا جاج كامل القطعة,بعث من رافع هذا الصك الخواجا امين بن قرحات فرح من قريتتاجاج كامل القطعة
